frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
322,5.4211,-0.0870,0.0189,163,0.4084,0.193572,143,0.5572,0.0696
323,5.4379,-0.0870,0.0189,163,0.4083,0.193572,143,0.5574,0.0696
324,5.4547,-0.0871,0.0188,163,0.4082,0.193572,143,0.5575,0.0699
325,5.4716,-0.0871,0.0190,163,0.4085,0.193573,135,0.5901,0.0266
326,5.4884,0.0870,-0.0156,167,0.5051,0.193416,140,0.5722,0.1345
327,5.5052,0.0843,-0.0544,168,0.5003,0.193523,140,0.5719,0.1423
328,5.5221,0.0844,-0.0544,168,0.5003,0.193523,140,0.5718,0.1426
329,5.5389,-0.1022,0.0221,163,0.4090,0.193572,140,0.5759,0.0624
330,5.5558,-0.0244,-0.0052,164,0.4330,0.193454,141,0.6074,0.0958
331,5.5726,-0.0248,-0.0052,164,0.4331,0.193454,136,0.5880,0.0460
332,5.5894,0.0064,0.0126,167,0.4726,0.193606,140,0.5592,0.0240
333,5.6063,-0.2394,0.0327,162,0.4141,0.193611,140,0.5592,0.2227
334,5.6231,-0.2390,0.0325,162,0.4140,0.193610,140,0.5592,0.2223
335,5.6399,0.1182,-0.0230,166,0.5079,0.193359,134,0.5694,0.1732
336,5.6568,0.1180,-0.0230,166,0.5079,0.193360,134,0.5694,0.1730
337,5.6736,0.1183,-0.0230,166,0.5079,0.193359,134,0.5693,0.1731
338,5.6904,0.1184,-0.0230,166,0.5079,0.193359,134,0.5693,0.1733
339,5.7073,-0.1777,-0.0155,162,0.4299,0.193474,134,0.5693,0.1421
340,5.7241,0.0403,0.0028,171,0.5422,0.193655,135,0.5621,0.1807
341,5.7409,0.0402,0.0028,171,0.5423,0.193655,134,0.5692,0.0910
342,5.7578,-0.1616,-0.0149,162,0.4192,0.193510,142,0.6027,0.1370
343,5.7746,-0.1385,-0.0260,163,0.4356,0.193497,136,0.5831,0.0836
344,5.7914,-0.1384,-0.0261,163,0.4354,0.193497,139,0.5652,0.0856
345,5.8083,0.2848,-0.1445,174,0.6409,0.193570,139,0.5651,0.3547
346,5.8251,0.0475,-0.0105,169,0.5081,0.193663,141,0.5567,0.0405
347,5.8420,-0.1216,-0.0202,163,0.4292,0.193513,141,0.5566,0.1391
348,5.8588,-0.1216,-0.0201,163,0.4291,0.193513,141,0.5544,0.1387
349,5.8756,0.0478,-0.0104,169,0.5080,0.193663,140,0.5779,0.1825
350,5.8925,-0.0455,-0.0232,165,0.4497,0.193512,142,0.5752,0.1176
351,5.9093,-0.0456,-0.0230,165,0.4498,0.193512,140,0.6435,0.3832
352,5.9261,0.0154,0.0098,168,0.4819,0.193603,142,0.5750,0.1328
353,5.9430,0.0151,0.0100,168,0.4819,0.193603,135,0.6043,0.0650
354,5.9598,-0.0459,-0.0230,165,0.4496,0.193512,140,0.5674,0.1050
355,5.9766,-0.0828,0.0116,163,0.4089,0.193558,140,0.5660,0.1396
356,5.9935,-0.0829,0.0116,163,0.4089,0.193559,140,0.5660,0.1396
357,6.0103,0.0638,-0.0089,168,0.4881,0.193620,142,0.5671,0.1152
358,6.0271,0.0638,-0.0090,168,0.4880,0.193620,140,0.5585,0.1605
359,6.0440,0.0638,-0.0090,168,0.4879,0.193620,142,0.5674,0.1154
360,6.0608,0.0223,0.0179,169,0.4907,0.193629,140,0.5599,0.0796
361,6.0777,-0.2021,0.0148,163,0.4240,0.193635,140,0.5438,0.1886
362,6.0945,-0.1197,0.0209,163,0.4168,0.193584,139,0.5581,0.1390
363,6.1113,0.0184,0.0101,176,0.6503,0.193802,140,0.5504,0.0529
364,6.1282,0.0005,0.0164,168,0.4777,0.193611,140,0.5504,0.0377
365,6.1450,0.0005,0.0167,168,0.4776,0.193611,140,0.5508,0.0378
366,6.1618,0.0005,0.0167,168,0.4776,0.193611,140,0.5508,0.0379
367,6.1787,0.0006,0.0166,168,0.4776,0.193611,141,0.5630,0.0927
368,6.1955,0.0006,0.0165,168,0.4778,0.193611,137,0.5853,0.0634
369,6.2123,-0.0045,0.0169,168,0.4775,0.193617,138,0.5928,0.1358
370,6.2292,-0.0047,0.0170,168,0.4774,0.193618,138,0.5946,0.1351
371,6.2460,0.0480,-0.0007,169,0.4901,0.193577,138,0.5945,0.1760
372,6.2628,0.0482,-0.0007,169,0.4901,0.193577,135,0.5851,0.1580
373,6.2797,0.0484,-0.0008,169,0.4900,0.193577,129,0.5623,0.1273
374,6.2965,0.0482,-0.0008,169,0.4900,0.193577,129,0.5623,0.1272
375,6.3134,-0.1878,0.0027,162,0.4241,0.193535,142,0.5714,0.1961
376,6.3302,-0.1879,0.0028,162,0.4241,0.193536,142,0.5714,0.1962
377,6.3470,-0.1878,0.0028,162,0.4242,0.193535,142,0.5713,0.1964
378,6.3639,-0.1359,0.0493,164,0.4342,0.193637,142,0.5713,0.1460
379,6.3807,-0.1625,0.0227,164,0.4357,0.193661,142,0.5712,0.1701
380,6.3975,0.2217,-0.0845,169,0.5121,0.193511,142,0.5712,0.2395
381,6.4144,0.2216,-0.0845,169,0.5121,0.193511,142,0.5711,0.2394
382,6.4312,0.2217,-0.0845,169,0.5123,0.193511,142,0.5711,0.2396
383,6.4480,0.2220,-0.0846,169,0.5127,0.193511,142,0.5711,0.2398
384,6.4649,0.0750,-0.0225,169,0.4947,0.193564,142,0.5711,0.0813
385,6.4817,0.0750,-0.0225,169,0.4946,0.193564,137,0.5574,0.2275
386,6.4985,0.0750,-0.0225,169,0.4947,0.193564,137,0.5574,0.2276
387,6.5154,0.0753,-0.0225,169,0.4946,0.193564,137,0.5543,0.2094
388,6.5322,0.0749,-0.0223,169,0.4945,0.193564,141,0.5578,0.1194
389,6.5491,0.0750,-0.0224,169,0.4945,0.193564,140,0.5473,0.1091
390,6.5659,-0.1161,-0.0170,163,0.4323,0.193488,140,0.5451,0.0710
391,6.5827,-0.1287,-0.0160,164,0.4488,0.193500,140,0.5663,0.1036
392,6.5996,-0.1358,-0.0082,163,0.4321,0.193501,142,0.5745,0.1551
393,6.6164,-0.0850,0.0236,163,0.4160,0.193569,142,0.5570,0.0992
394,6.6332,-0.0845,0.0235,163,0.4159,0.193568,142,0.5568,0.0987
395,6.6501,-0.1363,-0.0080,163,0.4321,0.193501,140,0.5478,0.0855
396,6.6669,-0.1362,-0.0080,163,0.4321,0.193501,140,0.5477,0.0855
397,6.6837,0.0805,0.0003,175,0.6335,0.193719,140,0.5478,0.1658
398,6.7006,0.0804,0.0002,175,0.6335,0.193719,140,0.5649,0.1575
399,6.7174,-0.0121,0.0098,166,0.4585,0.193567,137,0.5748,0.0499
400,6.7342,-0.0949,0.0280,163,0.4180,0.193578,141,0.5838,0.0599
401,6.7511,-0.0949,0.0280,163,0.4179,0.193578,141,0.5837,0.0599
402,6.7679,-0.0949,0.0280,163,0.4180,0.193578,141,0.5838,0.0599
403,6.7848,0.0312,0.0122,169,0.4962,0.193620,134,0.5847,0.0847
404,6.8016,0.0304,0.0129,169,0.4959,0.193621,134,0.5848,0.0842
405,6.8184,0.1018,-0.0638,174,0.6491,0.193632,134,0.5848,0.1583
406,6.8353,0.1024,-0.0638,174,0.6491,0.193632,132,0.5988,0.1676
407,6.8521,0.1024,-0.0637,174,0.6491,0.193632,132,0.5989,0.1678
408,6.8689,0.1017,-0.0636,174,0.6490,0.193632,132,0.5993,0.1672
409,6.8858,0.1021,-0.0639,174,0.6491,0.193632,132,0.5994,0.1677
410,6.9026,0.0547,-0.0156,174,0.5944,0.193683,140,0.5649,0.0819
411,6.9194,0.0266,0.0185,168,0.4858,0.193627,140,0.5649,0.0899
412,6.9363,-0.0348,0.0119,164,0.4315,0.193499,140,0.5649,0.0776
413,6.9531,-0.0586,0.0006,163,0.4155,0.193529,140,0.5650,0.0781
414,6.9699,-0.1013,0.0188,163,0.4149,0.193567,142,0.5968,0.3152
415,6.9868,-0.1009,0.0187,163,0.4153,0.193567,142,0.5966,0.3142
416,7.0036,-0.1115,0.0171,163,0.4166,0.193561,142,0.5966,0.3234
417,7.0204,-0.1008,0.0187,163,0.4151,0.193567,142,0.5961,0.3140
418,7.0373,-0.0274,0.0203,167,0.4735,0.193626,142,0.5962,0.2505
419,7.0541,-0.1099,0.0152,163,0.4165,0.193556,128,0.5984,0.0564
420,7.0710,0.0286,-0.0233,177,0.6773,0.193773,138,0.5922,0.2574
421,7.0878,0.0035,0.0373,169,0.4950,0.193653,143,0.6261,0.2701
422,7.1046,-0.0566,-0.0019,165,0.4439,0.193543,143,0.6262,0.3122
423,7.1215,0.0364,0.0115,169,0.4975,0.193650,143,0.6260,0.2289
424,7.1383,0.2146,-0.0312,173,0.6075,0.193596,143,0.6260,0.0617
425,7.1551,-0.1415,0.0122,163,0.4184,0.193544,143,0.5798,0.1427
426,7.1720,-0.1416,0.0123,163,0.4185,0.193544,143,0.5799,0.1424
427,7.1888,-0.1415,0.0124,163,0.4186,0.193543,143,0.5773,0.1350
428,7.2056,-0.0239,0.0291,168,0.4790,0.193621,143,0.5774,0.0162
429,7.2225,-0.0242,0.0290,168,0.4788,0.193622,143,0.5774,0.0166
430,7.2393,0.0204,0.0156,169,0.4971,0.193671,140,0.5807,0.1753
431,7.2561,-0.0739,-0.0404,161,0.4521,0.193392,140,0.5807,0.2579
432,7.2730,-0.0739,-0.0404,161,0.4521,0.193393,141,0.5960,0.0638
433,7.2898,-0.1577,0.0244,163,0.4159,0.193573,141,0.5960,0.1699
434,7.3067,-0.0344,0.0294,168,0.4802,0.193611,141,0.5960,0.1049
435,7.3235,-0.0759,0.0519,168,0.4825,0.193683,141,0.5959,0.1381
436,7.3403,0.0280,0.0045,169,0.4919,0.193609,141,0.5959,0.0918
437,7.3572,0.0280,0.0045,169,0.4919,0.193609,141,0.5959,0.0918
438,7.3740,0.0280,0.0044,169,0.4919,0.193609,141,0.5959,0.0918
439,7.3908,0.0278,0.0044,169,0.4918,0.193610,142,0.5674,0.0023
440,7.4077,0.0510,-0.0164,175,0.6267,0.193707,141,0.5716,0.0847
441,7.4245,-0.0423,-0.0099,165,0.4474,0.193542,141,0.5712,0.0510
442,7.4413,-0.0452,-0.0100,165,0.4471,0.193544,141,0.5711,0.0522
443,7.4582,-0.0058,0.0200,168,0.4795,0.193621,141,0.5710,0.0792
444,7.4750,-0.0037,0.0193,168,0.4808,0.193616,141,0.5711,0.0791
445,7.4918,0.0342,-0.0293,175,0.6381,0.193703,142,0.5604,0.0525
446,7.5087,-0.1404,-0.0103,163,0.4372,0.193481,142,0.5632,0.1517
447,7.5255,0.0062,0.0127,168,0.4779,0.193604,142,0.5923,0.1132
448,7.5424,0.0007,0.0171,168,0.4764,0.193630,141,0.5963,0.1849
449,7.5592,0.2188,-0.0937,170,0.5436,0.193557,142,0.6045,0.2522
450,7.5760,-0.0435,0.0294,166,0.4759,0.193708,142,0.5682,0.0662
451,7.5929,-0.0267,0.0665,167,0.4930,0.193714,143,0.5785,0.0488
452,7.6097,-0.1231,0.0068,162,0.4244,0.193562,140,0.5872,0.2022
453,7.6265,0.1253,-0.0325,169,0.5123,0.193600,143,0.6076,0.2170
454,7.6434,-0.0538,0.0064,165,0.4501,0.193598,143,0.6225,0.3301
455,7.6602,0.2922,-0.1054,173,0.6050,0.193586,143,0.5861,0.2875
456,7.6770,-0.2133,-0.0249,162,0.4489,0.193486,141,0.5868,0.3210
457,7.6939,-0.0883,-0.0277,173,0.5730,0.193693,131,0.5886,0.2054
458,7.7107,-0.1278,-0.0674,168,0.5514,0.193615,140,0.5672,0.0889
459,7.7275,-0.3196,0.0143,164,0.4489,0.193619,140,0.6291,0.0574
460,7.7444,-0.2436,0.0194,168,0.4933,0.193691,139,0.5851,0.0944
461,7.7612,-0.1176,0.0151,168,0.5040,0.193673,141,0.5846,0.0898
462,7.7781,0.1001,-0.0403,172,0.5599,0.193640,143,0.5883,0.1172
463,7.7949,-0.0046,-0.0195,162,0.4328,0.193559,141,0.5919,0.2507
464,7.8117,0.0494,0.0025,163,0.4455,0.193602,134,0.5831,0.2305
465,7.8286,0.1609,0.0247,164,0.4356,0.193655,138,0.6814,0.0939
466,7.8454,0.1087,0.0087,165,0.4640,0.193645,141,0.5797,0.1262
467,7.8622,-0.1470,-0.0199,159,0.4492,0.193555,141,0.5992,0.1716
468,7.8791,0.1109,-0.0458,171,0.5797,0.193692,140,0.5779,0.1631
469,7.8959,-0.3760,-0.0228,161,0.4509,0.193590,141,0.5737,0.1329
470,7.9127,-0.2021,0.0004,172,0.6769,0.193768,145,0.6108,0.1740
471,7.9296,-0.6316,-0.0529,162,0.4582,0.193506,128,0.5509,0.1319
472,7.9464,-0.3851,-0.1421,167,0.6929,0.193601,144,0.6089,0.1542
473,7.9632,-0.7253,-0.0517,160,0.4381,0.193494,141,0.5942,0.0940
474,7.9801,-0.4444,-0.0827,167,0.5422,0.193587,138,0.5964,0.0995
475,7.9969,-0.4512,-0.0305,163,0.4644,0.193609,141,0.5750,0.0847
476,8.0137,-0.3180,-0.0397,167,0.5185,0.193616,142,0.5898,0.0271
477,8.0306,-0.4337,-0.0623,162,0.4623,0.193725,137,0.6280,0.1616
478,8.0474,-0.1643,-0.0184,163,0.4594,0.193630,134,0.5789,0.0577
479,8.0643,-0.0089,-0.0448,168,0.5237,0.193622,143,0.6115,0.1200
480,8.0811,0.0643,0.0152,167,0.4821,0.193636,143,0.5669,0.0070
481,8.0979,0.1863,-0.0210,173,0.5650,0.193721,141,0.5865,0.0908
482,8.1148,0.1505,-0.0189,165,0.4665,0.193593,143,0.6066,0.0817
483,8.1316,0.2163,-0.0201,166,0.4730,0.193509,140,0.5488,0.0790
484,8.1484,0.1409,0.0127,168,0.5318,0.193647,142,0.5737,0.0331
485,8.1653,0.0022,0.0079,167,0.4862,0.193679,140,0.5766,0.1170
486,8.1821,-0.0529,-0.0375,171,0.5701,0.193673,143,0.5648,0.1259
487,8.1989,-0.1288,-0.0839,170,0.5212,0.193562,140,0.5928,0.1807
488,8.2158,-0.3302,-0.0597,164,0.4616,0.193545,143,0.6204,0.0750
489,8.2326,-0.2009,0.0318,167,0.5146,0.193625,129,0.5687,0.1092
490,8.2494,-0.2042,-0.0140,164,0.4542,0.193632,143,0.5988,0.0692
491,8.2663,0.0413,-0.0394,170,0.5997,0.193756,140,0.5824,0.1008
492,8.2831,-0.1064,-0.0444,162,0.4742,0.193544,142,0.5928,0.1169
493,8.3000,-0.0628,0.0179,168,0.4898,0.193678,130,0.5807,0.0450
494,8.3168,-0.1960,0.0146,168,0.5046,0.193674,143,0.5976,0.0536
495,8.3336,-0.2102,-0.0360,173,0.6146,0.193712,140,0.5988,0.1227
496,8.3505,-0.3795,0.0181,163,0.4562,0.193653,137,0.5981,0.0334
497,8.3673,-0.4372,0.0151,163,0.4524,0.193656,120,0.5994,0.0868
498,8.3841,-0.4563,-0.0103,162,0.4373,0.193555,132,0.6022,0.0090
499,8.4010,-0.2231,-0.0194,168,0.4964,0.193565,137,0.5888,0.0321
500,8.4178,-0.1642,-0.0148,168,0.5097,0.193604,140,0.5954,0.1298
501,8.4346,-0.0610,-0.0328,172,0.5788,0.193716,142,0.5968,0.0767
502,8.4515,0.0583,-0.0372,177,0.6418,0.193739,135,0.6144,0.0705
503,8.4683,0.0621,-0.0271,170,0.5229,0.193679,142,0.5920,0.0672
504,8.4851,-0.0171,-0.0267,163,0.4385,0.193581,141,0.5861,0.0832
505,8.5020,0.0470,-0.0436,174,0.6232,0.193755,140,0.6066,0.1797
506,8.5188,-0.0767,0.0152,169,0.5092,0.193722,142,0.6014,0.0368
507,8.5357,-0.2356,-0.0270,162,0.4372,0.193560,138,0.5688,0.1479
508,8.5525,-0.2695,0.0207,162,0.4330,0.193637,142,0.6206,0.1950
509,8.5693,-0.1187,-0.0240,164,0.4487,0.193638,131,0.6139,0.0463
510,8.5862,0.0529,-0.0075,168,0.4877,0.193646,140,0.6148,0.1370
511,8.6030,0.1767,-0.0570,170,0.5370,0.193626,140,0.5952,0.1822
512,8.6198,-0.0095,0.0052,167,0.4771,0.193778,144,0.6452,0.3979
513,8.6367,0.1985,-0.0489,167,0.4926,0.193630,139,0.5983,0.1331
514,8.6535,0.0926,-0.0177,169,0.5101,0.193603,142,0.5871,0.0634
515,8.6703,0.0627,-0.0045,171,0.5500,0.193681,142,0.5744,0.0419
516,8.6872,-0.1582,-0.0222,163,0.4337,0.193517,142,0.5802,0.1003
517,8.7040,-0.2428,-0.0471,164,0.4514,0.193544,141,0.5587,0.0400
518,8.7208,-0.2516,-0.0280,176,0.6670,0.193816,139,0.6170,0.1041
519,8.7377,-0.3540,-0.0277,165,0.4627,0.193532,141,0.5533,0.0219
520,8.7545,-0.4224,0.0351,167,0.5276,0.193670,144,0.6168,0.2293
521,8.7714,-0.4700,-0.0467,165,0.4662,0.193600,144,0.5836,0.0966
522,8.7882,-0.2900,-0.0989,166,0.5055,0.193506,128,0.5548,0.2849
523,8.8050,-0.5298,-0.0445,162,0.4278,0.193568,142,0.5699,0.0221
524,8.8219,-0.4669,-0.0564,161,0.4309,0.193452,144,0.5893,0.0960
525,8.8387,0.3133,-0.0378,175,0.7073,0.193324,140,0.5838,0.5378
526,8.8555,-0.1299,-0.0227,162,0.4457,0.193521,138,0.5863,0.3134
527,8.8724,0.4725,-0.0795,175,0.6823,0.193520,142,0.5971,0.3485
528,8.8892,0.2290,0.0153,167,0.4944,0.193641,139,0.5743,0.1364
529,8.9060,0.1474,0.0212,166,0.4934,0.193649,130,0.5626,0.0708
530,8.9229,0.1025,0.0367,167,0.4980,0.193685,139,0.5759,0.0774
531,8.9397,0.1076,0.0123,167,0.4856,0.193627,145,0.6350,0.1122
532,8.9565,0.0414,0.0237,163,0.4504,0.193623,138,0.5724,0.0262
533,8.9734,0.0688,0.0258,165,0.4532,0.193671,141,0.5836,0.0176
534,8.9902,0.0603,0.0170,165,0.4466,0.193649,140,0.5878,0.0213
535,9.0071,0.0612,-0.0111,162,0.4506,0.193496,138,0.5811,0.0342
536,9.0239,-0.0494,0.0037,164,0.4452,0.193623,139,0.5818,0.1710
537,9.0407,0.0200,0.0298,167,0.4876,0.193679,142,0.5786,0.0516
538,9.0576,-0.0829,0.0138,165,0.4696,0.193684,139,0.6063,0.0665
539,9.0744,-0.1784,-0.0074,163,0.4436,0.193615,144,0.5847,0.1494
540,9.0912,0.1006,0.0018,169,0.4834,0.193735,145,0.5871,0.0667
541,9.1081,-0.0314,0.0021,163,0.4165,0.193637,124,0.5787,0.0718
542,9.1249,-0.0249,0.0067,165,0.4391,0.193707,144,0.6014,0.0762
543,9.1417,-0.1201,0.0257,164,0.4262,0.193720,140,0.5851,0.1788
544,9.1586,-0.1855,-0.0031,163,0.4132,0.193669,138,0.5724,0.2240
545,9.1754,-0.1678,0.0352,163,0.4150,0.193709,140,0.6119,0.3199
546,9.1922,-0.2026,0.0037,164,0.4225,0.193663,141,0.5728,0.1009
547,9.2091,-0.1086,-0.0107,174,0.5786,0.193761,131,0.5376,0.0941
548,9.2259,-0.3939,-0.0339,164,0.4501,0.193609,139,0.6552,0.1274
549,9.2427,-0.4009,-0.0159,165,0.4558,0.193661,141,0.6018,0.0886
550,9.2596,-0.4025,-0.0146,162,0.4603,0.193604,142,0.6000,0.1509
551,9.2764,-0.2702,-0.0168,162,0.4361,0.193695,143,0.5987,0.0593
552,9.2933,-0.0215,0.0487,168,0.5011,0.193806,139,0.5869,0.0686
553,9.3101,-0.1692,0.0198,163,0.4341,0.193732,140,0.5965,0.2021
554,9.3269,0.1133,-0.1095,173,0.6132,0.193744,142,0.6077,0.3006
555,9.3438,-0.4207,-0.0416,163,0.4484,0.193632,140,0.5926,0.0955
556,9.3606,-0.6723,-0.0268,162,0.4450,0.193704,140,0.5746,0.1105
557,9.3774,-0.6314,-0.0484,166,0.5130,0.193746,142,0.5901,0.0887
558,9.3943,-0.7917,-0.0216,165,0.6157,0.193961,141,0.5881,0.1814
559,9.4111,-0.9237,-0.0420,162,0.4319,0.193645,136,0.6061,0.1526
560,9.4279,-1.0273,-0.0636,159,0.4258,0.193593,138,0.6055,0.2117
561,9.4448,-0.9115,-0.0240,162,0.4112,0.193691,135,0.6104,0.1011
562,9.4616,-0.9451,-0.0325,162,0.4100,0.193677,129,0.5957,0.0199
563,9.4784,-0.8556,-0.0999,162,0.4497,0.193636,142,0.5796,0.0733
564,9.4953,-1.1604,-0.0547,161,0.4283,0.193642,139,0.5543,0.0830
565,9.5121,-1.2749,-0.0845,161,0.4244,0.193646,142,0.6069,0.2541
566,9.5290,-1.2321,-0.0897,161,0.4329,0.193666,133,0.5832,0.2724
567,9.5458,-1.1609,-0.0598,162,0.4278,0.193683,135,0.6115,0.1007
568,9.5626,-1.1430,-0.0627,161,0.4221,0.193692,141,0.6210,0.2035
569,9.5795,-1.0455,-0.0693,162,0.4183,0.193702,140,0.5771,0.2032
570,9.5963,-1.0193,-0.0024,162,0.4102,0.193789,142,0.5812,0.2403
571,9.6131,-0.8694,-0.0500,162,0.4106,0.193732,141,0.5838,0.0572
572,9.6300,-0.8859,-0.0572,162,0.4166,0.193718,140,0.5809,0.1288
573,9.6468,-0.7703,-0.0509,167,0.5144,0.193870,138,0.5850,0.1201
574,9.6636,-0.7019,-0.0629,164,0.4660,0.193804,138,0.5903,0.1864
575,9.6805,-0.5936,-0.0856,163,0.4375,0.193736,139,0.6269,0.0797
576,9.6973,-0.5501,-0.0547,163,0.4410,0.193775,137,0.5994,0.2229
577,9.7141,-0.4323,-0.1010,164,0.4679,0.193571,135,0.6055,0.0297
578,9.7310,-0.1571,-0.1081,170,0.5570,0.193686,128,0.5848,0.3197
579,9.7478,-0.2272,-0.0854,163,0.4361,0.193649,138,0.6248,0.1313
580,9.7647,-0.2639,-0.0455,163,0.4345,0.193719,143,0.6796,0.0466
581,9.7815,-0.0859,-0.0923,172,0.5803,0.193807,134,0.5861,0.0684
582,9.7983,-0.1078,-0.0892,172,0.5811,0.193849,143,0.6312,0.1112
583,9.8152,-0.2882,-0.1342,161,0.4826,0.193566,142,0.6142,0.0945
584,9.8320,-0.3797,-0.0478,163,0.4340,0.193749,137,0.6181,0.2828
585,9.8488,-0.1658,-0.0395,167,0.4828,0.193797,137,0.6040,0.0999
586,9.8657,-0.3084,-0.0474,163,0.4110,0.193691,140,0.5844,0.0932
587,9.8825,-0.3935,-0.0673,161,0.4185,0.193635,142,0.6101,0.1257
588,9.8993,-0.3858,-0.0574,164,0.4455,0.193715,137,0.5769,0.3033
589,9.9162,-0.1131,-0.0251,170,0.5529,0.193824,120,0.5390,0.1119
590,9.9330,-0.4344,-0.0091,163,0.4161,0.193811,139,0.5902,0.0728
591,9.9498,-0.4569,-0.0328,163,0.4298,0.193806,139,0.5969,0.1103
592,9.9667,-0.1936,-0.0310,173,0.5989,0.193754,142,0.6156,0.1932
593,9.9835,-0.3485,-0.0466,167,0.4999,0.193783,141,0.6660,0.3622
594,10.0004,-0.3100,-0.0388,168,0.5047,0.193781,144,0.6270,0.0857
595,10.0172,-0.5345,-0.0319,163,0.4218,0.193772,140,0.5844,0.1493
596,10.0340,-0.4017,-0.0652,166,0.5049,0.193728,138,0.5927,0.0860
597,10.0509,-0.5498,-0.0552,163,0.4145,0.193764,141,0.5903,0.1086
598,10.0677,-0.5799,-0.0933,162,0.4404,0.193626,135,0.5656,0.0675
599,10.0845,-0.4293,-0.0346,164,0.4447,0.193774,132,0.5931,0.0325
600,10.1014,-0.2298,-0.0344,168,0.4852,0.193803,138,0.5685,0.0664
601,10.1182,-0.2592,-0.0516,165,0.4654,0.193955,139,0.6271,0.0776
602,10.1350,-0.1819,-0.0158,164,0.4371,0.193813,138,0.6541,0.0792
603,10.1519,-0.1205,-0.0343,164,0.4514,0.193814,141,0.5943,0.1054
604,10.1687,0.0933,-0.0799,175,0.6564,0.193967,135,0.5770,0.0605
605,10.1855,-0.0165,-0.0346,169,0.5153,0.193860,140,0.5817,0.0417
606,10.2024,-0.1008,-0.0398,164,0.4545,0.193745,139,0.5958,0.1832
607,10.2192,0.0113,-0.0218,165,0.4605,0.193771,138,0.6023,0.1019
608,10.2361,-0.0230,-0.0065,166,0.4685,0.193778,130,0.6170,0.0594
609,10.2529,0.2475,-0.0512,174,0.6709,0.193900,137,0.6360,0.3000
610,10.2697,-0.2643,-0.0154,163,0.4511,0.193787,136,0.5747,0.2207
611,10.2866,-0.3190,-0.0455,163,0.4722,0.193748,143,0.6122,0.3446
612,10.3034,-0.2929,-0.0284,165,0.4856,0.193815,132,0.5934,0.0625
613,10.3202,-0.1897,-0.0318,168,0.5155,0.193855,143,0.5840,0.0817
614,10.3371,-0.1291,-0.0464,167,0.5006,0.193818,142,0.5732,0.0185
615,10.3539,-0.0389,-0.0479,169,0.5129,0.193809,135,0.5974,0.0320
616,10.3707,-0.0203,-0.0619,169,0.5117,0.193819,142,0.5463,0.0878
617,10.3876,-0.1916,-0.1339,163,0.5103,0.193667,141,0.5695,0.1256
618,10.4044,-0.0207,-0.1185,172,0.5870,0.193906,141,0.5860,0.0828
619,10.4212,-0.0705,-0.1050,167,0.4967,0.193816,143,0.6051,0.1047
620,10.4381,-0.2921,-0.1134,164,0.4802,0.193943,142,0.5887,0.2069
621,10.4549,-0.1323,-0.0822,165,0.4734,0.193873,141,0.5714,0.0198
622,10.4717,-0.0601,-0.0690,166,0.4761,0.193890,143,0.6215,0.0278
623,10.4886,-0.0125,-0.0854,168,0.5193,0.193878,141,0.6228,0.0586
624,10.5054,-0.1080,-0.2632,166,0.5411,0.193818,140,0.6633,0.1903
625,10.5223,-0.4972,-0.8144,163,0.4759,0.193771,141,0.6157,0.1972
626,10.5391,-0.3886,-1.0342,169,0.6050,0.193863,142,0.6415,0.1581
627,10.5559,-0.7464,-1.1142,162,0.4642,0.193825,126,0.6508,0.0603
628,10.5728,-0.9324,-1.2460,162,0.4389,0.193940,140,0.5852,0.1922
629,10.5896,-0.8339,-1.4568,167,0.5041,0.193954,139,0.6360,0.2359
630,10.6064,-0.8771,-1.5525,166,0.4608,0.193858,141,0.5903,0.0591
631,10.6233,-1.0454,-1.6858,162,0.4424,0.193770,143,0.5956,0.0865
632,10.6401,-1.1096,-1.7468,163,0.4389,0.193860,138,0.6193,0.3270
633,10.6569,-1.0306,-1.8853,163,0.4583,0.193745,116,0.5646,0.0596
634,10.6738,-0.9738,-1.9348,167,0.5146,0.193922,117,0.5860,0.0860
635,10.6906,-0.8243,-2.1884,164,0.6429,0.193833,139,0.5999,0.2234
636,10.7074,-1.0044,-2.2831,167,0.5287,0.193853,142,0.6301,0.0444
637,10.7243,-1.2394,-2.4492,162,0.4207,0.193815,134,0.6422,0.1466
638,10.7411,-1.2269,-2.5804,162,0.4434,0.193800,142,0.6074,0.1211
639,10.7580,-1.2331,-2.7049,162,0.4371,0.193794,144,0.6198,0.1410
640,10.7748,-1.0507,-2.8315,166,0.5022,0.193856,141,0.5821,0.0915
641,10.7916,-1.2992,-2.9851,162,0.4432,0.193775,140,0.5779,0.2180
642,10.8085,-1.4320,-3.1091,160,0.4386,0.193817,140,0.5770,0.2100
643,10.8253,-1.3970,-3.2770,162,0.4574,0.193903,139,0.6373,0.1184
644,10.8421,-1.5473,-3.4628,162,0.4524,0.193788,141,0.6221,0.3151
645,10.8590,-1.4915,-3.5885,162,0.4589,0.193711,140,0.6189,0.1486
646,10.8758,-1.3848,-3.6517,161,0.4308,0.193645,134,0.5894,0.1323
647,10.8926,-1.5067,-3.7913,161,0.4401,0.193741,127,0.5839,0.1321
648,10.9095,-1.4624,-3.9027,162,0.4331,0.193808,139,0.6398,0.1713
649,10.9263,-1.4108,-3.9940,162,0.4304,0.193853,135,0.6000,0.0625
