frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
74,1.2458,0.0334,0.0080,169,0.4862,0.193616,142,0.5630,0.0309
75,1.2627,-0.2204,-0.0081,159,0.3871,0.193537,138,0.5571,0.1863
76,1.2795,0.1689,-0.0879,176,0.6599,0.193590,128,0.5697,0.2486
77,1.2963,-0.0607,0.0116,163,0.4066,0.193577,140,0.5613,0.0358
78,1.3132,-0.0693,-0.0082,163,0.4067,0.193589,140,0.5592,0.0399
79,1.3300,-0.0622,0.0009,163,0.4123,0.193535,141,0.5889,0.2556
80,1.3468,0.3241,-0.1646,172,0.6049,0.193518,132,0.5746,0.2528
81,1.3637,0.1777,-0.0592,170,0.5182,0.193581,142,0.5632,0.1911
82,1.3805,0.0857,-0.0194,172,0.5556,0.193662,136,0.5796,0.1565
83,1.3974,0.0855,-0.0194,172,0.5559,0.193662,139,0.5633,0.1245
84,1.4142,0.0853,-0.0193,172,0.5560,0.193662,141,0.5594,0.0723
85,1.4310,-0.0079,0.0339,164,0.4322,0.193635,141,0.5686,0.0737
86,1.4479,0.0389,0.0106,169,0.4891,0.193635,143,0.6004,0.1058
87,1.4647,-0.0671,0.0113,164,0.4234,0.193581,138,0.5962,0.0454
88,1.4815,-0.1500,-0.0184,162,0.4217,0.193505,138,0.5963,0.0432
89,1.4984,0.0824,-0.0059,169,0.4926,0.193619,138,0.5962,0.1937
90,1.5152,-0.0500,0.0010,164,0.4212,0.193546,142,0.5701,0.0404
91,1.5320,0.1083,-0.0135,176,0.6220,0.193692,141,0.5818,0.1283
92,1.5489,0.1082,-0.0136,176,0.6220,0.193692,141,0.5812,0.1278
93,1.5657,0.0662,-0.0591,166,0.5027,0.193465,140,0.5787,0.0484
94,1.5825,0.0105,-0.0113,164,0.4230,0.193549,140,0.5788,0.0796
95,1.5994,0.0503,0.0096,169,0.4873,0.193613,142,0.5752,0.1628
96,1.6162,0.1343,-0.0434,171,0.5330,0.193527,139,0.5849,0.2426
97,1.6331,0.0973,0.0064,176,0.6289,0.193716,142,0.5849,0.0603
98,1.6499,0.0790,-0.0055,168,0.4751,0.193602,140,0.5790,0.0975
99,1.6667,0.0287,0.0154,168,0.4729,0.193616,140,0.5656,0.0652
100,1.6836,0.0384,0.0092,168,0.4726,0.193607,141,0.5620,0.0498
101,1.7004,0.0055,0.0302,167,0.4606,0.193642,141,0.5620,0.0891
102,1.7172,0.0035,0.0305,167,0.4607,0.193644,141,0.5822,0.1733
103,1.7341,0.0709,-0.0165,170,0.5135,0.193649,141,0.5827,0.0926
104,1.7509,-0.0463,-0.0002,164,0.4208,0.193538,131,0.5659,0.0793
105,1.7677,-0.0362,0.0149,164,0.4176,0.193576,142,0.5815,0.0329
106,1.7846,-0.0369,0.0148,164,0.4177,0.193577,142,0.5816,0.0321
107,1.8014,-0.0947,-0.0005,162,0.3973,0.193527,142,0.5815,0.0283
108,1.8182,0.0141,0.0060,165,0.4343,0.193554,141,0.5705,0.1167
109,1.8351,0.0506,0.0095,169,0.4871,0.193613,142,0.5823,0.1016
110,1.8519,0.1358,-0.0378,172,0.5529,0.193624,141,0.5952,0.1757
111,1.8688,0.1348,-0.0376,172,0.5521,0.193624,141,0.5730,0.0295
112,1.8856,-0.0349,0.0465,166,0.4523,0.193663,141,0.5902,0.0702
113,1.9024,0.0940,-0.0207,172,0.5452,0.193634,141,0.5901,0.1714
114,1.9193,0.0978,0.0246,169,0.5038,0.193634,142,0.6155,0.1483
115,1.9361,0.0562,0.0018,169,0.4872,0.193610,139,0.5885,0.1593
116,1.9529,0.0559,0.0018,169,0.4871,0.193610,139,0.5879,0.1590
117,1.9698,-0.1235,-0.0346,163,0.4450,0.193488,140,0.5621,0.0924
