frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
104,1.7509,0.0045,-0.0009,336,1.0000,0.4555,
105,1.7677,0.0045,-0.0008,334,1.0000,0.4558,
106,1.7846,0.0045,-0.0008,330,1.0000,0.4558,
107,1.8014,0.0045,-0.0008,330,1.0000,0.4552,
108,1.8182,0.0045,-0.0009,332,1.0000,0.4560,
109,1.8351,0.0046,-0.0009,330,1.0000,0.4565,
110,1.8519,0.0046,-0.0009,328,1.0000,0.4569,
111,1.8688,0.0047,-0.0009,319,1.0000,0.4569,
112,1.8856,0.0047,-0.0009,323,1.0000,0.4563,
113,1.9024,0.0046,-0.0009,312,1.0000,0.4567,
114,1.9193,0.0045,-0.0008,316,1.0000,0.4569,
115,1.9361,0.0046,-0.0008,332,0.9970,0.4565,
116,1.9529,0.0046,-0.0008,327,0.9970,0.4565,
117,1.9698,0.0047,-0.0008,323,1.0000,0.4546,
118,1.9866,0.0046,-0.0009,320,1.0000,0.4571,
119,2.0034,0.0047,-0.0009,310,1.0000,0.4564,
120,2.0203,-0.0011,-0.0012,287,0.9671,0.4555,
121,2.0371,-0.0011,-0.0012,564,1.0000,0.4555,
122,2.0539,-0.0011,-0.0012,549,1.0000,0.4552,
123,2.0708,-0.0010,-0.0012,529,0.9906,0.4554,
124,2.0876,-0.0010,-0.0012,493,0.9960,0.4563,
125,2.1045,-0.0010,-0.0012,466,1.0000,0.4553,
126,2.1213,-0.0010,-0.0012,440,0.9977,0.4555,
127,2.1381,-0.0010,-0.0012,436,0.9954,0.4555,
128,2.1550,-0.0010,-0.0012,426,0.9977,0.4555,
129,2.1718,-0.0010,-0.0012,419,1.0000,0.4555,
130,2.1886,-0.0010,-0.0012,403,1.0000,0.4553,
131,2.2055,-0.0010,-0.0012,400,1.0000,0.4568,
132,2.2223,-0.0010,-0.0012,412,1.0000,0.4574,
133,2.2391,-0.0010,-0.0012,402,1.0000,0.4566,
134,2.2560,-0.0010,-0.0012,386,1.0000,0.4566,
135,2.2728,-0.0010,-0.0012,384,1.0000,0.4562,
136,2.2896,-0.0010,-0.0012,369,1.0000,0.4562,
137,2.3065,-0.0010,-0.0012,370,1.0000,0.4559,
138,2.3233,-0.0010,-0.0012,387,1.0000,0.4559,
139,2.3401,-0.0010,-0.0012,380,0.9974,0.4564,
140,2.3570,-0.0010,-0.0012,377,0.9947,0.4563,
141,2.3738,-0.0010,-0.0012,367,1.0000,0.4563,
142,2.3907,-0.0010,-0.0012,364,1.0000,0.4565,
143,2.4075,-0.0010,-0.0012,354,1.0000,0.4565,
144,2.4243,-0.0010,-0.0012,359,1.0000,0.4565,
145,2.4412,-0.0010,-0.0012,351,1.0000,0.4565,
146,2.4580,-0.0010,-0.0012,351,1.0000,0.4565,
147,2.4748,-0.0010,-0.0012,348,1.0000,0.4565,
148,2.4917,-0.0010,-0.0012,347,1.0000,0.4565,
149,2.5085,-0.0011,-0.0012,346,1.0000,0.4564,
150,2.5253,-0.0023,-0.0008,322,0.9713,0.4545,
151,2.5422,-0.0023,-0.0008,484,1.0000,0.4545,
152,2.5590,-0.0023,-0.0008,487,1.0000,0.4560,
153,2.5758,-0.0023,-0.0008,472,1.0000,0.4564,
154,2.5927,-0.0023,-0.0008,462,1.0000,0.4566,
155,2.6095,-0.0023,-0.0008,446,0.9978,0.4556,
156,2.6264,-0.0023,-0.0008,415,1.0000,0.4565,
157,2.6432,-0.0023,-0.0008,415,1.0000,0.4565,
158,2.6600,-0.0023,-0.0008,406,1.0000,0.4565,
159,2.6769,-0.0023,-0.0007,394,1.0000,0.4565,
160,2.6937,-0.0023,-0.0008,383,0.9974,0.4563,
161,2.7105,-0.0023,-0.0008,370,1.0000,0.4566,
162,2.7274,-0.0023,-0.0008,370,1.0000,0.4563,
163,2.7442,-0.0023,-0.0008,368,1.0000,0.4563,
164,2.7610,-0.0023,-0.0008,371,1.0000,0.4563,
165,2.7779,-0.0024,-0.0007,371,1.0000,0.4563,
166,2.7947,-0.0024,-0.0007,368,1.0000,0.4563,
167,2.8115,-0.0024,-0.0007,370,1.0000,0.4563,
168,2.8284,-0.0024,-0.0007,369,1.0000,0.4565,
169,2.8452,-0.0024,-0.0007,364,1.0000,0.4565,
170,2.8621,-0.0024,-0.0007,363,1.0000,0.4555,
171,2.8789,-0.0024,-0.0007,363,1.0000,0.4568,
172,2.8957,-0.0025,-0.0007,364,1.0000,0.4568,
173,2.9126,-0.0024,-0.0007,358,0.9972,0.4569,
174,2.9294,-0.0024,-0.0007,350,1.0000,0.4568,
175,2.9462,-0.0025,-0.0007,342,1.0000,0.4568,
176,2.9631,-0.0025,-0.0007,344,1.0000,0.4568,
177,2.9799,-0.0025,-0.0007,328,1.0000,0.4552,
178,2.9967,-0.0025,-0.0007,330,1.0000,0.4563,
179,3.0136,-0.0025,-0.0007,330,1.0000,0.4565,
180,3.0304,-0.0053,0.0003,307,0.9511,0.4562,
181,3.0472,-0.0053,0.0003,485,1.0000,0.4562,
182,3.0641,-0.0053,0.0003,474,1.0000,0.4562,
183,3.0809,-0.0053,0.0003,469,0.9979,0.4562,
184,3.0978,-0.0053,0.0003,443,1.0000,0.4563,
185,3.1146,-0.0053,0.0003,432,1.0000,0.4556,
186,3.1314,-0.0053,0.0003,415,1.0000,0.4556,
187,3.1483,-0.0053,0.0003,417,1.0000,0.4556,
188,3.1651,-0.0053,0.0003,406,1.0000,0.4554,
189,3.1819,-0.0053,0.0003,400,1.0000,0.4577,
190,3.1988,-0.0053,0.0003,393,1.0000,0.4576,
191,3.2156,-0.0053,0.0003,389,1.0000,0.4551,
192,3.2324,-0.0053,0.0003,387,1.0000,0.4554,
193,3.2493,-0.0053,0.0003,390,1.0000,0.4564,
194,3.2661,-0.0053,0.0003,385,1.0000,0.4564,
195,3.2829,-0.0054,0.0002,385,0.9974,0.4563,
196,3.2998,-0.0054,0.0002,377,1.0000,0.4563,
197,3.3166,-0.0054,0.0002,377,1.0000,0.4564,
198,3.3335,-0.0054,0.0002,375,1.0000,0.4564,
199,3.3503,-0.0053,0.0002,383,1.0000,0.4564,
200,3.3671,-0.0054,0.0002,374,1.0000,0.4564,
201,3.3840,-0.0054,0.0002,382,1.0000,0.4564,
202,3.4008,-0.0054,0.0002,375,1.0000,0.4564,
203,3.4176,-0.0053,0.0002,379,1.0000,0.4564,
204,3.4345,-0.0054,0.0002,381,1.0000,0.4562,
205,3.4513,-0.0054,0.0002,384,1.0000,0.4559,
206,3.4681,-0.0054,0.0002,384,1.0000,0.4564,
207,3.4850,-0.0054,0.0002,385,1.0000,0.4562,
208,3.5018,-0.0054,0.0002,377,1.0000,0.4564,
209,3.5186,-0.0054,0.0002,374,1.0000,0.4567,
210,3.5355,-0.0067,-0.0017,347,0.9702,0.4568,
211,3.5523,-0.0067,-0.0017,416,1.0000,0.4570,
212,3.5691,-0.0067,-0.0017,412,1.0000,0.4570,
213,3.5860,-0.0067,-0.0016,409,1.0000,0.4562,
214,3.6028,-0.0067,-0.0016,406,1.0000,0.4562,
215,3.6197,-0.0066,-0.0016,400,1.0000,0.4563,
216,3.6365,-0.0066,-0.0016,398,1.0000,0.4563,
217,3.6533,-0.0066,-0.0016,397,1.0000,0.4556,
218,3.6702,-0.0066,-0.0016,392,1.0000,0.4549,
219,3.6870,-0.0066,-0.0016,396,1.0000,0.4549,
220,3.7038,-0.0066,-0.0016,395,1.0000,0.4563,
221,3.7207,-0.0066,-0.0016,389,1.0000,0.4556,
222,3.7375,-0.0066,-0.0016,388,0.9949,0.4556,
223,3.7543,-0.0066,-0.0016,382,1.0000,0.4556,
224,3.7712,-0.0066,-0.0016,375,1.0000,0.4556,
225,3.7880,-0.0066,-0.0016,367,1.0000,0.4562,
226,3.8048,-0.0066,-0.0016,366,1.0000,0.4562,
227,3.8217,-0.0066,-0.0016,361,1.0000,0.4562,
228,3.8385,-0.0066,-0.0016,359,1.0000,0.4556,
229,3.8554,-0.0066,-0.0016,386,1.0000,0.4556,
230,3.8722,-0.0066,-0.0016,369,1.0000,0.4569,
231,3.8890,-0.0066,-0.0016,361,0.9891,0.4569,
232,3.9059,-0.0066,-0.0016,352,1.0000,0.4571,
233,3.9227,-0.0066,-0.0016,362,1.0000,0.4571,
234,3.9395,-0.0066,-0.0016,346,0.9943,0.4556,
235,3.9564,-0.0066,-0.0016,359,1.0000,0.4569,
236,3.9732,-0.0066,-0.0016,352,1.0000,0.4569,
237,3.9900,-0.0066,-0.0016,351,1.0000,0.4569,
238,4.0069,-0.0066,-0.0016,344,1.0000,0.4568,
239,4.0237,-0.0066,-0.0016,345,1.0000,0.4568,
240,4.0405,-0.0048,-0.0008,326,0.9655,0.4564,
241,4.0574,-0.0048,-0.0008,503,1.0000,0.4563,
242,4.0742,-0.0048,-0.0008,484,1.0000,0.4563,
243,4.0911,-0.0047,-0.0009,472,1.0000,0.4565,
244,4.1079,-0.0047,-0.0009,451,0.9956,0.4563,
245,4.1247,-0.0047,-0.0009,441,0.9932,0.4563,
246,4.1416,-0.0047,-0.0009,435,1.0000,0.4566,
247,4.1584,-0.0047,-0.0009,433,1.0000,0.4564,
248,4.1752,-0.0047,-0.0009,424,0.9976,0.4564,
249,4.1921,-0.0047,-0.0008,423,1.0000,0.4542,
250,4.2089,-0.0048,-0.0009,410,1.0000,0.4563,
251,4.2257,-0.0048,-0.0009,415,1.0000,0.4563,
252,4.2426,-0.0048,-0.0009,408,1.0000,0.4555,
253,4.2594,-0.0048,-0.0009,400,1.0000,0.4541,
254,4.2762,-0.0048,-0.0009,400,1.0000,0.4541,
255,4.2931,-0.0048,-0.0009,396,1.0000,0.4563,
256,4.3099,-0.0048,-0.0009,395,1.0000,0.4563,
257,4.3268,-0.0048,-0.0009,391,1.0000,0.4563,
258,4.3436,-0.0048,-0.0009,386,1.0000,0.4555,
259,4.3604,-0.0048,-0.0009,386,1.0000,0.4555,
260,4.3773,-0.0048,-0.0009,385,1.0000,0.4564,
261,4.3941,-0.0048,-0.0009,378,1.0000,0.4557,
262,4.4109,-0.0048,-0.0009,377,1.0000,0.4557,
263,4.4278,-0.0048,-0.0009,379,1.0000,0.4564,
264,4.4446,-0.0048,-0.0009,379,1.0000,0.4564,
265,4.4614,-0.0048,-0.0009,381,0.9974,0.4557,
266,4.4783,-0.0048,-0.0009,382,1.0000,0.4557,
267,4.4951,-0.0048,-0.0009,380,1.0000,0.4547,
268,4.5119,-0.0048,-0.0009,380,1.0000,0.4547,
269,4.5288,-0.0048,-0.0009,380,1.0000,0.4547,
270,4.5456,-0.0063,-0.0007,354,0.9580,0.4554,
271,4.5625,-0.0062,-0.0008,540,1.0000,0.4554,
272,4.5793,-0.0062,-0.0008,490,1.0000,0.4554,
273,4.5961,-0.0062,-0.0007,490,1.0000,0.4554,
274,4.6130,-0.0062,-0.0007,496,1.0000,0.4554,
275,4.6298,-0.0061,-0.0007,485,1.0000,0.4564,
276,4.6466,-0.0061,-0.0007,474,1.0000,0.4564,
277,4.6635,-0.0061,-0.0008,472,0.9979,0.4564,
278,4.6803,-0.0061,-0.0008,459,1.0000,0.4564,
279,4.6971,-0.0061,-0.0008,454,1.0000,0.4564,
280,4.7140,-0.0062,-0.0008,448,1.0000,0.4554,
281,4.7308,-0.0062,-0.0008,443,0.9977,0.4554,
282,4.7476,-0.0062,-0.0008,440,1.0000,0.4554,
283,4.7645,-0.0062,-0.0008,428,1.0000,0.4554,
284,4.7813,-0.0062,-0.0008,435,1.0000,0.4554,
285,4.7981,-0.0061,-0.0007,425,0.9953,0.4554,
286,4.8150,-0.0061,-0.0008,447,1.0000,0.4554,
287,4.8318,-0.0061,-0.0007,446,1.0000,0.4554,
288,4.8487,-0.0061,-0.0007,444,1.0000,0.4554,
289,4.8655,-0.0061,-0.0007,432,0.9954,0.4554,
290,4.8823,-0.0061,-0.0007,420,1.0000,0.4555,
291,4.8992,-0.0060,-0.0007,408,0.9976,0.4564,
292,4.9160,-0.0060,-0.0007,395,1.0000,0.4564,
293,4.9328,-0.0060,-0.0007,387,1.0000,0.4564,
294,4.9497,-0.0060,-0.0007,394,1.0000,0.4555,
295,4.9665,-0.0060,-0.0008,377,0.9974,0.4555,
296,4.9833,-0.0060,-0.0008,368,1.0000,0.4562,
297,5.0002,-0.0060,-0.0008,367,1.0000,0.4562,
298,5.0170,-0.0060,-0.0007,368,1.0000,0.4562,
299,5.0338,-0.0060,-0.0007,364,1.0000,0.4562,
300,5.0507,-0.0066,-0.0004,340,0.9429,0.4554,
301,5.0675,-0.0066,-0.0004,488,1.0000,0.4554,
302,5.0844,-0.0066,-0.0004,493,1.0000,0.4554,
303,5.1012,-0.0065,-0.0004,482,0.9959,0.4562,
304,5.1180,-0.0065,-0.0004,468,1.0000,0.4555,
305,5.1349,-0.0065,-0.0004,469,1.0000,0.4555,
306,5.1517,-0.0065,-0.0004,450,1.0000,0.4555,
307,5.1685,-0.0065,-0.0004,438,1.0000,0.4555,
308,5.1854,-0.0065,-0.0004,432,1.0000,0.4555,
309,5.2022,-0.0065,-0.0004,430,0.9977,0.4555,
310,5.2190,-0.0065,-0.0005,433,1.0000,0.4565,
311,5.2359,-0.0066,-0.0005,420,1.0000,0.4565,
312,5.2527,-0.0066,-0.0005,418,1.0000,0.4565,
313,5.2695,-0.0066,-0.0005,405,1.0000,0.4565,
314,5.2864,-0.0066,-0.0005,403,1.0000,0.4561,
315,5.3032,-0.0065,-0.0005,404,1.0000,0.4563,
316,5.3201,-0.0065,-0.0005,399,0.9975,0.4563,
317,5.3369,-0.0065,-0.0005,396,1.0000,0.4563,
318,5.3537,-0.0065,-0.0005,404,1.0000,0.4563,
319,5.3706,-0.0065,-0.0005,404,1.0000,0.4563,
320,5.3874,-0.0065,-0.0005,398,1.0000,0.4555,
321,5.4042,-0.0065,-0.0005,402,1.0000,0.4555,
322,5.4211,-0.0065,-0.0005,398,1.0000,0.4555,
323,5.4379,-0.0065,-0.0005,397,1.0000,0.4555,
324,5.4547,-0.0065,-0.0005,396,1.0000,0.4555,
325,5.4716,-0.0065,-0.0005,399,1.0000,0.4555,
326,5.4884,-0.0065,-0.0005,392,1.0000,0.4554,
327,5.5052,-0.0065,-0.0005,399,1.0000,0.4560,
328,5.5221,-0.0065,-0.0005,409,1.0000,0.4560,
329,5.5389,-0.0065,-0.0005,413,1.0000,0.4554,
330,5.5558,-0.0070,-0.0006,376,0.9673,0.4552,
331,5.5726,-0.0070,-0.0006,498,1.0000,0.4552,
332,5.5894,-0.0070,-0.0006,489,1.0000,0.4562,
333,5.6063,-0.0070,-0.0006,487,1.0000,0.4548,
334,5.6231,-0.0070,-0.0006,465,1.0000,0.4548,
335,5.6399,-0.0069,-0.0006,461,1.0000,0.4553,
336,5.6568,-0.0069,-0.0006,444,1.0000,0.4553,
337,5.6736,-0.0069,-0.0006,446,1.0000,0.4553,
338,5.6904,-0.0069,-0.0006,441,1.0000,0.4553,
339,5.7073,-0.0069,-0.0006,441,1.0000,0.4544,
340,5.7241,-0.0069,-0.0006,442,1.0000,0.4566,
341,5.7409,-0.0069,-0.0006,433,1.0000,0.4566,
342,5.7578,-0.0069,-0.0005,422,0.9953,0.4546,
343,5.7746,-0.0069,-0.0005,459,1.0000,0.4547,
344,5.7914,-0.0069,-0.0005,450,1.0000,0.4547,
345,5.8083,-0.0069,-0.0005,450,1.0000,0.4573,
346,5.8251,-0.0069,-0.0004,430,0.9908,0.4567,
347,5.8420,-0.0069,-0.0004,427,1.0000,0.4549,
348,5.8588,-0.0069,-0.0004,418,0.9953,0.4549,
349,5.8756,-0.0069,-0.0004,409,0.9951,0.4567,
350,5.8925,-0.0068,-0.0005,396,0.9975,0.4553,
351,5.9093,-0.0068,-0.0005,397,1.0000,0.4553,
352,5.9261,-0.0068,-0.0005,396,1.0000,0.4562,
353,5.9430,-0.0068,-0.0005,390,1.0000,0.4562,
354,5.9598,-0.0068,-0.0005,397,1.0000,0.4553,
355,5.9766,-0.0068,-0.0005,391,1.0000,0.4555,
356,5.9935,-0.0068,-0.0005,396,1.0000,0.4555,
357,6.0103,-0.0068,-0.0005,388,0.9974,0.4566,
358,6.0271,-0.0068,-0.0005,385,1.0000,0.4566,
359,6.0440,-0.0068,-0.0005,388,1.0000,0.4566,
360,6.0608,-0.0071,-0.0003,350,0.9531,0.4564,
361,6.0777,-0.0071,-0.0003,591,0.9983,0.4552,
362,6.0945,-0.0071,-0.0003,569,1.0000,0.4554,
363,6.1113,-0.0071,-0.0003,556,1.0000,0.4572,
364,6.1282,-0.0071,-0.0003,524,1.0000,0.4562,
365,6.1450,-0.0071,-0.0003,505,1.0000,0.4562,
366,6.1618,-0.0071,-0.0003,487,1.0000,0.4562,
367,6.1787,-0.0072,-0.0003,486,1.0000,0.4562,
368,6.1955,-0.0071,-0.0003,486,0.9980,0.4562,
369,6.2123,-0.0071,-0.0003,477,1.0000,0.4562,
370,6.2292,-0.0071,-0.0003,464,1.0000,0.4562,
371,6.2460,-0.0071,-0.0003,459,1.0000,0.4563,
372,6.2628,-0.0071,-0.0003,433,1.0000,0.4563,
373,6.2797,-0.0072,-0.0003,425,1.0000,0.4563,
374,6.2965,-0.0071,-0.0003,421,1.0000,0.4563,
375,6.3134,-0.0072,-0.0004,422,0.9976,0.4547,
376,6.3302,-0.0071,-0.0004,404,1.0000,0.4547,
377,6.3470,-0.0071,-0.0004,405,1.0000,0.4547,
378,6.3639,-0.0071,-0.0003,403,1.0000,0.4556,
379,6.3807,-0.0071,-0.0003,399,1.0000,0.4556,
380,6.3975,-0.0071,-0.0003,402,1.0000,0.4567,
381,6.4144,-0.0071,-0.0003,396,1.0000,0.4567,
382,6.4312,-0.0071,-0.0003,393,1.0000,0.4567,
383,6.4480,-0.0071,-0.0003,393,1.0000,0.4567,
384,6.4649,-0.0071,-0.0003,394,1.0000,0.4563,
385,6.4817,-0.0071,-0.0003,402,1.0000,0.4563,
386,6.4985,-0.0071,-0.0003,400,1.0000,0.4563,
387,6.5154,-0.0071,-0.0003,397,1.0000,0.4563,
388,6.5322,-0.0071,-0.0004,399,1.0000,0.4563,
389,6.5491,-0.0071,-0.0004,399,1.0000,0.4563,
390,6.5659,-0.0072,0.0007,364,0.9621,0.4548,
391,6.5827,-0.0072,0.0007,511,1.0000,0.4548,
392,6.5996,-0.0072,0.0007,478,0.9979,0.4548,
393,6.6164,-0.0072,0.0007,459,1.0000,0.4555,
394,6.6332,-0.0072,0.0007,449,0.9978,0.4555,
395,6.6501,-0.0072,0.0007,453,0.9978,0.4548,
396,6.6669,-0.0072,0.0007,432,1.0000,0.4548,
397,6.6837,-0.0072,0.0007,439,1.0000,0.4571,
398,6.7006,-0.0072,0.0007,442,0.9977,0.4571,
399,6.7174,-0.0071,0.0007,436,0.9978,0.4559,
400,6.7342,-0.0071,0.0007,454,1.0000,0.4555,
401,6.7511,-0.0071,0.0007,449,1.0000,0.4555,
402,6.7679,-0.0071,0.0007,439,0.9933,0.4555,
403,6.7848,-0.0071,0.0007,433,1.0000,0.4564,
404,6.8016,-0.0071,0.0007,413,0.9952,0.4564,
405,6.8184,-0.0071,0.0007,402,0.9976,0.4566,
406,6.8353,-0.0071,0.0007,390,1.0000,0.4566,
407,6.8521,-0.0071,0.0007,382,1.0000,0.4566,
408,6.8689,-0.0071,0.0007,384,1.0000,0.4566,
409,6.8858,-0.0072,0.0007,384,1.0000,0.4566,
410,6.9026,-0.0071,0.0007,367,1.0000,0.4567,
411,6.9194,-0.0071,0.0007,355,1.0000,0.4564,
412,6.9363,-0.0071,0.0007,358,1.0000,0.4554,
413,6.9531,-0.0072,0.0007,356,1.0000,0.4554,
414,6.9699,-0.0072,0.0007,352,1.0000,0.4554,
415,6.9868,-0.0072,0.0007,338,1.0000,0.4554,
416,7.0036,-0.0072,0.0007,337,1.0000,0.4553,
417,7.0204,-0.0072,0.0007,345,1.0000,0.4554,
418,7.0373,-0.0072,0.0007,344,1.0000,0.4562,
419,7.0541,-0.0072,0.0007,342,1.0000,0.4553,
420,7.0710,-0.0060,0.0008,318,0.9446,0.4570,
421,7.0878,-0.0061,0.0008,426,1.0000,0.4565,
422,7.1046,-0.0060,0.0008,427,1.0000,0.4555,
423,7.1215,-0.0061,0.0008,417,0.9976,0.4566,
424,7.1383,-0.0061,0.0008,410,1.0000,0.4570,
425,7.1551,-0.0060,0.0008,404,0.9975,0.4550,
426,7.1720,-0.0060,0.0008,408,1.0000,0.4550,
427,7.1888,-0.0060,0.0008,403,1.0000,0.4550,
428,7.2056,-0.0060,0.0008,402,1.0000,0.4561,
429,7.2225,-0.0060,0.0008,396,1.0000,0.4561,
430,7.2393,-0.0060,0.0008,381,1.0000,0.4566,
431,7.2561,-0.0060,0.0008,387,1.0000,0.4543,
432,7.2730,-0.0060,0.0008,382,1.0000,0.4543,
433,7.2898,-0.0060,0.0008,377,1.0000,0.4551,
434,7.3067,-0.0060,0.0008,380,1.0000,0.4560,
435,7.3235,-0.0060,0.0008,366,0.9946,0.4562,
436,7.3403,-0.0060,0.0008,373,1.0000,0.4563,
437,7.3572,-0.0060,0.0008,373,1.0000,0.4563,
438,7.3740,-0.0060,0.0008,372,1.0000,0.4563,
439,7.3908,-0.0060,0.0008,369,1.0000,0.4563,
440,7.4077,-0.0060,0.0009,366,1.0000,0.4568,
441,7.4245,-0.0060,0.0008,362,1.0000,0.4555,
442,7.4413,-0.0060,0.0008,360,1.0000,0.4555,
