frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
99,1.6667,-0.0009,-0.0007,1999,1.0000,0.6100,
100,1.6836,-0.0009,-0.0007,2000,1.0000,0.6098,
101,1.7004,-0.0009,-0.0007,2000,1.0000,0.6101,
102,1.7172,-0.0009,-0.0008,2000,1.0000,0.6101,
103,1.7341,-0.0008,-0.0008,2000,1.0000,0.6095,
104,1.7509,-0.0008,-0.0007,2000,1.0000,0.6101,
105,1.7677,-0.0009,-0.0007,2000,1.0000,0.6102,
106,1.7846,-0.0009,-0.0008,2000,1.0000,0.6102,
107,1.8014,-0.0009,-0.0007,2000,1.0000,0.6103,
108,1.8182,-0.0008,-0.0007,2000,1.0000,0.6100,
109,1.8351,-0.0008,-0.0008,2000,1.0000,0.6097,
110,1.8519,-0.0009,-0.0008,2000,1.0000,0.6090,
111,1.8688,-0.0009,-0.0008,2000,1.0000,0.6090,
112,1.8856,-0.0009,-0.0008,2000,1.0000,0.6104,
113,1.9024,-0.0008,-0.0009,2000,1.0000,0.6091,
114,1.9193,-0.0008,-0.0010,2000,1.0000,0.6095,
115,1.9361,-0.0008,-0.0009,2000,1.0000,0.6096,
116,1.9529,-0.0008,-0.0009,2000,1.0000,0.6096,
117,1.9698,-0.0008,-0.0009,2000,1.0000,0.6099,
118,1.9866,-0.0010,-0.0009,2000,1.0000,0.6089,
119,2.0034,-0.0010,-0.0009,2000,1.0000,0.6100,
120,2.0203,-0.0021,-0.0025,2000,1.0000,0.6114,
121,2.0371,-0.0021,-0.0025,1999,1.0000,0.6104,
122,2.0539,-0.0022,-0.0025,2000,1.0000,0.6099,
123,2.0708,-0.0023,-0.0025,2000,1.0000,0.6099,
124,2.0876,-0.0023,-0.0025,2000,1.0000,0.6095,
125,2.1045,-0.0023,-0.0026,2000,1.0000,0.6098,
126,2.1213,-0.0024,-0.0026,2000,1.0000,0.6101,
127,2.1381,-0.0024,-0.0025,2000,1.0000,0.6101,
128,2.1550,-0.0024,-0.0025,2000,1.0000,0.6101,
129,2.1718,-0.0024,-0.0025,2000,1.0000,0.6101,
130,2.1886,-0.0024,-0.0026,2000,1.0000,0.6098,
131,2.2055,-0.0024,-0.0025,2000,1.0000,0.6088,
132,2.2223,-0.0024,-0.0025,2000,1.0000,0.6087,
133,2.2391,-0.0024,-0.0025,2000,1.0000,0.6101,
134,2.2560,-0.0024,-0.0024,2000,1.0000,0.6101,
135,2.2728,-0.0024,-0.0022,2000,1.0000,0.6102,
136,2.2896,-0.0024,-0.0022,2000,1.0000,0.6102,
137,2.3065,-0.0024,-0.0022,2000,1.0000,0.6101,
138,2.3233,-0.0024,-0.0022,2000,1.0000,0.6101,
