height,label,sigma,final_mm,rms_mm,max_mm,pct_travel,still_drift_mm,inc_rms_um,med_points,lost_frames
1080,1920x1080 (원본),0.0,6.363887461845244,2.2298813431395703,6.776061321561438,0.8228564071655259,0.017261792030504104,418.55046793297885,1999,0
1080,1920x1080 (원본),1.0,6.321751794491254,2.2196568590056063,6.732109480087309,0.8174082272502932,0.019835381426223982,418.5245525159535,1999,0
1080,1920x1080 (원본),2.0,6.3054508947481995,2.218932412788441,6.7216571549019575,0.8153005061636847,0.020622996863801157,418.42535769884125,1998,0
1080,1920x1080 (원본),4.0,6.257783526985585,2.2144109248473343,6.688545755523562,0.8091370723802704,0.03432994771932019,418.34129066726587,1971,0
1080,1920x1080 (원본),8.0,6.216031761705866,2.2024134541573237,6.649163612220347,0.803738531350614,0.030545911699079675,418.1457327549865,1849,0
480,~854x480,0.0,7.128584341348659,2.635548119919789,7.581045348635077,0.9217324056195304,0.04683825475488495,418.323721684557,1999,0
480,~854x480,1.0,7.154992471417359,2.652083938445904,7.611015455698072,0.9251470007327491,0.05004378366313724,418.3271657278458,2000,0
480,~854x480,2.0,7.239233809831467,2.6821815160427454,7.6965525831356025,0.9360394820152745,0.04669161981312782,418.3298729084626,2000,0
480,~854x480,4.0,7.24042619255502,2.6906931778918124,7.699672874325994,0.9361936581803547,0.0855716306700062,418.2588375711782,1989,0
480,~854x480,8.0,7.49454447140541,2.7871321706729266,7.946562694699312,0.9690513815740504,0.16130375489922172,418.5767718781371,1904,0
240,~427x240 (320x240급),0.0,7.167027978350557,2.6064984807482734,7.624446190271513,0.9267032026695122,0.07048198559204791,418.90747113759363,997,0
240,~427x240 (320x240급),1.0,7.266947443982782,2.6458662016990258,7.731982403849311,0.9396228799876577,0.08994918682443957,418.8124137498679,1061,0
240,~427x240 (320x240급),2.0,7.314744035509823,2.6764619987688216,7.777834149996212,0.94580302252074,0.08606977836006635,418.67560475129875,1235,0
240,~427x240 (320x240급),4.0,7.531558616268136,2.7887228022192874,8.003692183552145,0.9738373439969648,0.1465772175321281,418.6816346020029,1465,0
240,~427x240 (320x240급),8.0,8.071094090759502,2.989569979577584,8.510038508990595,1.0435997690461318,0.22907014012778074,419.0043512194066,1498,0
192,~341x192 (256x192급),0.0,6.881222978981069,2.469072630644538,7.354528655615606,0.8897483576410411,0.08254349299310851,418.6173199164124,620,0
192,~341x192 (256x192급),1.0,7.023919782090581,2.5394677258856726,7.502419341863169,0.9081991834019751,0.11979428550327463,418.56643883366587,662,0
192,~341x192 (256x192급),2.0,7.169496008593874,2.606895627489606,7.639398609496006,0.9270223212131646,0.09951682296151103,418.64779733234934,771,0
192,~341x192 (256x192급),4.0,7.350786668324652,2.6957372515872393,7.837954073291829,0.9504633675567908,0.08728726326747607,418.90289153999845,927,0
192,~341x192 (256x192급),8.0,7.343540573167649,2.6895729834762716,7.811136688859177,0.9495264408963779,0.30700141107272105,419.72102288598626,947,0
120,~213x120 (160x120급),0.0,7.2445760041085965,2.6147061727069136,7.664219088453952,0.9367302325691796,0.1040096972902988,418.61910960423637,253,0
120,~213x120 (160x120급),1.0,7.518996306300685,2.7105839704583032,7.953407010179657,0.9722130259511961,0.07660468602314051,418.69501490620434,268,0
120,~213x120 (160x120급),2.0,7.555328492770773,2.7219390749593626,7.997657599061883,0.9769108105368738,0.17859343056383917,418.7186568366587,313,0
120,~213x120 (160x120급),4.0,7.519493369845145,2.7278192806414037,7.976081314244803,0.9722772967172615,0.116755528937312,418.93085498283347,370,0
120,~213x120 (160x120급),8.0,8.136612807831844,2.99464222908227,8.708490931790495,1.052071398448046,0.12418097687355083,420.89603752434033,370,0
