frame,t_s,ref_X_mm,ref_Y_mm,est_X_mm,est_Y_mm,err_X_mm,err_Y_mm,err_norm_mm,est_oracle_X_mm,est_oracle_Y_mm,err_oracle_mm,tracked_points,inlier_ratio,roi_visible,ref_corners,ref_rms_px,mm_per_px,xcheck_mm,flags
144,2.4243,0.0052,0.0193,-0.0025,-0.0022,-0.0077,-0.0215,0.0228,-0.0024,-0.0022,0.0228,2000,1.0000,0.6102,167,0.4752,0.193673,0.0224,
145,2.4412,0.0051,0.0194,-0.0025,-0.0021,-0.0076,-0.0215,0.0228,-0.0025,-0.0021,0.0228,2000,1.0000,0.6102,167,0.4750,0.193673,0.0221,
146,2.4580,0.0056,0.0192,-0.0025,-0.0023,-0.0081,-0.0215,0.0230,-0.0025,-0.0023,0.0230,2000,1.0000,0.6102,167,0.4750,0.193672,0.0227,
147,2.4748,0.0056,0.0191,-0.0025,-0.0022,-0.0081,-0.0213,0.0228,-0.0024,-0.0022,0.0228,2000,1.0000,0.6102,167,0.4748,0.193672,0.0310,
148,2.4917,0.0060,0.0190,-0.0024,-0.0023,-0.0084,-0.0213,0.0229,-0.0024,-0.0023,0.0229,2000,1.0000,0.6102,167,0.4748,0.193672,0.1174,
149,2.5085,0.0117,0.0195,-0.0023,-0.0023,-0.0140,-0.0218,0.0259,-0.0023,-0.0023,0.0259,2000,1.0000,0.6098,167,0.4705,0.193628,0.0458,
150,2.5253,-0.1683,-0.0116,-0.0035,-0.0014,0.1648,0.0102,0.1651,-0.0035,-0.0014,0.1651,2000,1.0000,0.6103,161,0.4121,0.193498,0.2025,
151,2.5422,-0.1680,-0.0117,-0.0035,-0.0014,0.1645,0.0103,0.1648,-0.0035,-0.0014,0.1648,2000,1.0000,0.6103,162,0.4273,0.193497,0.1388,
152,2.5590,-0.0470,0.0459,-0.0035,-0.0013,0.0435,-0.0472,0.0642,-0.0035,-0.0013,0.0642,1999,1.0000,0.6103,164,0.4271,0.193624,0.0510,
153,2.5758,-0.0084,0.0572,-0.0036,-0.0016,0.0048,-0.0588,0.0590,-0.0036,-0.0016,0.0590,1999,1.0000,0.6102,167,0.4716,0.193652,0.0789,
154,2.5927,0.1518,-0.0702,-0.0036,-0.0016,-0.1554,0.0686,0.1699,-0.0036,-0.0016,0.1699,2000,1.0000,0.6083,176,0.6410,0.193562,0.2571,
155,2.6095,-0.0935,0.0250,-0.0036,-0.0016,0.0899,-0.0266,0.0938,-0.0036,-0.0016,0.0938,1999,1.0000,0.6103,163,0.4074,0.193583,0.0401,
156,2.6264,0.0730,-0.0230,-0.0035,-0.0017,-0.0765,0.0213,0.0794,-0.0035,-0.0017,0.0794,2000,1.0000,0.6095,170,0.5080,0.193597,0.1348,
157,2.6432,0.0733,-0.0229,-0.0036,-0.0017,-0.0769,0.0212,0.0798,-0.0036,-0.0017,0.0798,2000,1.0000,0.6095,170,0.5087,0.193596,0.0717,
158,2.6600,0.0733,-0.0229,-0.0036,-0.0018,-0.0769,0.0211,0.0797,-0.0036,-0.0018,0.0797,2000,1.0000,0.6095,170,0.5087,0.193596,0.1481,
159,2.6769,0.0828,-0.0261,-0.0035,-0.0017,-0.0863,0.0244,0.0897,-0.0035,-0.0017,0.0897,2000,1.0000,0.6095,170,0.5079,0.193586,0.1582,
160,2.6937,0.0382,0.0008,-0.0035,-0.0018,-0.0417,-0.0026,0.0418,-0.0035,-0.0018,0.0418,2000,1.0000,0.6096,169,0.4930,0.193597,0.1066,
161,2.7105,0.0430,0.0011,-0.0034,-0.0018,-0.0464,-0.0029,0.0465,-0.0034,-0.0018,0.0465,2000,1.0000,0.6102,167,0.4768,0.193639,0.0670,
162,2.7274,0.0309,0.0023,-0.0035,-0.0017,-0.0344,-0.0040,0.0346,-0.0035,-0.0017,0.0346,2000,1.0000,0.6097,169,0.4936,0.193609,0.0761,
163,2.7442,0.0311,0.0023,-0.0035,-0.0017,-0.0346,-0.0040,0.0348,-0.0035,-0.0017,0.0348,1999,1.0000,0.6097,169,0.4938,0.193609,0.0759,
164,2.7610,0.0308,0.0023,-0.0035,-0.0017,-0.0343,-0.0040,0.0345,-0.0035,-0.0017,0.0345,2000,1.0000,0.6097,169,0.4938,0.193609,0.0761,
165,2.7779,0.0367,0.0014,-0.0036,-0.0016,-0.0403,-0.0030,0.0404,-0.0036,-0.0016,0.0404,2000,1.0000,0.6096,169,0.4939,0.193599,0.0088,
166,2.7947,0.0367,0.0016,-0.0036,-0.0016,-0.0403,-0.0032,0.0404,-0.0035,-0.0016,0.0403,2000,1.0000,0.6096,169,0.4938,0.193599,0.0089,
167,2.8115,0.0365,0.0016,-0.0036,-0.0016,-0.0401,-0.0032,0.0402,-0.0035,-0.0016,0.0401,2000,1.0000,0.6096,169,0.4938,0.193599,0.0160,
168,2.8284,0.0403,0.0024,-0.0036,-0.0016,-0.0439,-0.0040,0.0441,-0.0036,-0.0016,0.0441,2000,1.0000,0.6102,167,0.4775,0.193641,0.0137,
169,2.8452,0.0406,0.0025,-0.0036,-0.0016,-0.0442,-0.0041,0.0444,-0.0036,-0.0016,0.0444,2000,1.0000,0.6102,167,0.4775,0.193641,0.0133,
170,2.8621,-0.1076,-0.0018,-0.0036,-0.0016,0.1040,0.0002,0.1040,-0.0036,-0.0016,0.1040,2000,1.0000,0.6105,163,0.4104,0.193582,0.0510,
171,2.8789,0.0449,-0.0168,-0.0040,-0.0013,-0.0489,0.0155,0.0513,-0.0040,-0.0013,0.0513,2000,1.0000,0.6088,174,0.6050,0.193714,0.1076,
172,2.8957,0.0446,-0.0167,-0.0040,-0.0013,-0.0486,0.0154,0.0510,-0.0040,-0.0013,0.0510,1999,1.0000,0.6088,174,0.6050,0.193714,0.1074,
173,2.9126,0.0416,-0.0149,-0.0039,-0.0012,-0.0455,0.0137,0.0475,-0.0039,-0.0012,0.0475,2000,1.0000,0.6088,175,0.6156,0.193719,0.1043,
174,2.9294,0.0416,-0.0151,-0.0040,-0.0012,-0.0456,0.0139,0.0477,-0.0040,-0.0012,0.0477,1999,1.0000,0.6088,175,0.6155,0.193719,0.1044,
175,2.9462,0.0451,-0.0168,-0.0040,-0.0012,-0.0491,0.0156,0.0515,-0.0040,-0.0012,0.0515,2000,1.0000,0.6088,174,0.6044,0.193714,0.1278,
176,2.9631,0.0451,-0.0170,-0.0040,-0.0012,-0.0491,0.0158,0.0516,-0.0039,-0.0012,0.0515,2000,1.0000,0.6088,174,0.6043,0.193714,0.1276,
177,2.9799,-0.1327,0.0205,-0.0041,-0.0012,0.1286,-0.0217,0.1304,-0.0041,-0.0012,0.1304,2000,1.0000,0.6103,163,0.4118,0.193563,0.1252,
178,2.9967,0.0058,0.0187,-0.0040,-0.0012,-0.0098,-0.0199,0.0222,-0.0040,-0.0012,0.0222,2000,1.0000,0.6099,168,0.4799,0.193629,0.0296,
179,3.0136,0.0269,-0.0048,-0.0041,-0.0012,-0.0310,0.0036,0.0312,-0.0041,-0.0012,0.0312,2000,1.0000,0.6093,171,0.5341,0.193657,0.0373,
180,3.0304,0.0119,0.0239,-0.0046,-0.0016,-0.0165,-0.0255,0.0304,-0.0046,-0.0016,0.0304,1996,1.0000,0.6099,168,0.4788,0.193597,0.0305,
181,3.0472,0.0119,0.0239,-0.0045,-0.0016,-0.0164,-0.0255,0.0303,-0.0045,-0.0016,0.0303,2000,1.0000,0.6099,168,0.4788,0.193597,0.0605,
182,3.0641,0.0120,0.0236,-0.0045,-0.0016,-0.0165,-0.0252,0.0301,-0.0045,-0.0016,0.0301,2000,1.0000,0.6099,168,0.4791,0.193596,0.0248,
183,3.0809,-0.0134,0.0353,-0.0045,-0.0016,0.0089,-0.0369,0.0380,-0.0045,-0.0016,0.0380,2000,1.0000,0.6102,167,0.4697,0.193617,0.1095,
184,3.0978,0.0213,0.0164,-0.0046,-0.0016,-0.0259,-0.0180,0.0315,-0.0046,-0.0016,0.0315,2000,1.0000,0.6098,169,0.4914,0.193609,0.0542,
185,3.1146,-0.1130,0.0391,-0.0046,-0.0016,0.1084,-0.0407,0.1158,-0.0046,-0.0016,0.1158,2000,1.0000,0.6105,163,0.4127,0.193609,0.0602,
186,3.1314,-0.1131,0.0391,-0.0046,-0.0016,0.1085,-0.0407,0.1159,-0.0046,-0.0016,0.1159,2000,1.0000,0.6105,163,0.4127,0.193609,0.1424,
187,3.1483,-0.1130,0.0389,-0.0045,-0.0016,0.1085,-0.0405,0.1158,-0.0045,-0.0016,0.1158,2000,1.0000,0.6105,163,0.4126,0.193609,0.1422,
188,3.1651,-0.0431,-0.0026,-0.0046,-0.0016,0.0385,0.0010,0.0385,-0.0046,-0.0016,0.0385,2000,1.0000,0.6099,165,0.4415,0.193526,0.0441,
189,3.1819,0.2701,-0.0983,-0.0047,-0.0017,-0.2748,0.0966,0.2913,-0.0046,-0.0017,0.2912,2000,1.0000,0.6087,174,0.6429,0.193636,0.3654,
190,3.1988,0.2699,-0.0948,-0.0046,-0.0016,-0.2745,0.0932,0.2899,-0.0046,-0.0016,0.2899,2000,1.0000,0.6087,174,0.6396,0.193629,0.3253,
191,3.2156,-0.1438,0.0219,-0.0046,-0.0016,0.1392,-0.0235,0.1412,-0.0046,-0.0016,0.1412,1999,1.0000,0.6104,163,0.4159,0.193557,0.0876,
192,3.2324,-0.0607,0.0067,-0.0047,-0.0016,0.0560,-0.0083,0.0566,-0.0046,-0.0016,0.0567,2000,1.0000,0.6100,164,0.4254,0.193535,0.0685,
193,3.2493,0.0412,0.0152,-0.0047,-0.0016,-0.0459,-0.0168,0.0489,-0.0047,-0.0016,0.0489,2000,1.0000,0.6097,169,0.4911,0.193602,0.0352,
194,3.2661,0.0413,0.0152,-0.0047,-0.0017,-0.0460,-0.0169,0.0490,-0.0047,-0.0017,0.0490,2000,1.0000,0.6097,169,0.4910,0.193602,0.0352,
195,3.2829,0.0287,0.0139,-0.0047,-0.0016,-0.0334,-0.0155,0.0368,-0.0047,-0.0016,0.0368,2000,1.0000,0.6098,168,0.4779,0.193597,0.0229,
196,3.2998,0.0287,0.0139,-0.0047,-0.0017,-0.0334,-0.0156,0.0369,-0.0047,-0.0017,0.0369,1999,1.0000,0.6098,168,0.4780,0.193597,0.0164,
197,3.3166,0.0408,0.0151,-0.0046,-0.0017,-0.0454,-0.0168,0.0484,-0.0046,-0.0017,0.0484,1999,1.0000,0.6097,169,0.4912,0.193602,0.0270,
198,3.3335,0.0389,0.0146,-0.0047,-0.0017,-0.0436,-0.0163,0.0465,-0.0047,-0.0017,0.0465,2000,1.0000,0.6097,169,0.4909,0.193604,0.0254,
199,3.3503,0.0414,0.0149,-0.0047,-0.0016,-0.0461,-0.0165,0.0490,-0.0046,-0.0016,0.0489,2000,1.0000,0.6097,169,0.4910,0.193601,0.0824,
200,3.3671,0.0426,0.0145,-0.0046,-0.0016,-0.0472,-0.0161,0.0499,-0.0046,-0.0016,0.0499,2000,1.0000,0.6097,169,0.4914,0.193600,0.0747,
201,3.3840,0.0427,0.0146,-0.0046,-0.0016,-0.0473,-0.0162,0.0500,-0.0046,-0.0016,0.0500,2000,1.0000,0.6097,169,0.4914,0.193600,0.0747,
202,3.4008,0.0428,0.0145,-0.0047,-0.0015,-0.0475,-0.0160,0.0501,-0.0046,-0.0015,0.0500,2000,1.0000,0.6097,169,0.4914,0.193600,0.1132,
203,3.4176,0.0426,0.0145,-0.0046,-0.0015,-0.0472,-0.0160,0.0498,-0.0046,-0.0015,0.0498,2000,1.0000,0.6097,169,0.4910,0.193600,0.1130,
204,3.4345,-0.0257,0.0341,-0.0046,-0.0015,0.0211,-0.0356,0.0414,-0.0046,-0.0015,0.0414,2000,1.0000,0.6103,167,0.4684,0.193634,0.0517,
205,3.4513,-0.0617,0.0360,-0.0045,-0.0015,0.0572,-0.0375,0.0684,-0.0045,-0.0015,0.0684,2000,1.0000,0.6104,164,0.4273,0.193619,0.0293,
206,3.4681,0.0593,-0.0044,-0.0045,-0.0015,-0.0638,0.0029,0.0639,-0.0045,-0.0015,0.0639,2000,1.0000,0.6098,169,0.4914,0.193585,0.1299,
207,3.4850,-0.0266,0.0347,-0.0045,-0.0015,0.0221,-0.0362,0.0424,-0.0045,-0.0015,0.0424,2000,1.0000,0.6103,167,0.4688,0.193635,0.0511,
208,3.5018,0.0594,-0.0043,-0.0045,-0.0014,-0.0639,0.0029,0.0640,-0.0045,-0.0015,0.0640,2000,1.0000,0.6098,169,0.4914,0.193585,0.1300,
209,3.5186,0.0801,-0.0322,-0.0045,-0.0015,-0.0846,0.0307,0.0900,-0.0045,-0.0015,0.0900,2000,1.0000,0.6086,173,0.5967,0.193650,0.1007,
210,3.5355,0.0677,-0.0230,-0.0023,-0.0008,-0.0700,0.0222,0.0734,-0.0023,-0.0008,0.0734,2000,1.0000,0.6088,174,0.5968,0.193676,0.2060,
211,3.5523,0.0299,0.0303,-0.0023,-0.0008,-0.0322,-0.0311,0.0448,-0.0023,-0.0008,0.0448,2000,1.0000,0.6097,169,0.5230,0.193739,0.0162,
212,3.5691,0.0299,0.0302,-0.0023,-0.0008,-0.0322,-0.0310,0.0447,-0.0023,-0.0008,0.0447,2000,1.0000,0.6097,169,0.5230,0.193739,0.1242,
213,3.5860,-0.0282,0.0293,-0.0023,-0.0009,0.0259,-0.0302,0.0398,-0.0023,-0.0009,0.0398,1999,1.0000,0.6102,167,0.4701,0.193650,0.0595,
214,3.6028,-0.0280,0.0294,-0.0023,-0.0008,0.0257,-0.0302,0.0397,-0.0023,-0.0008,0.0397,2000,1.0000,0.6102,167,0.4700,0.193650,0.0152,
215,3.6197,0.1009,0.0352,-0.0024,-0.0008,-0.1033,-0.0360,0.1094,-0.0024,-0.0008,0.1094,2000,1.0000,0.6092,169,0.5000,0.193536,0.2415,
216,3.6365,0.0339,0.0019,-0.0024,-0.0008,-0.0363,-0.0027,0.0364,-0.0024,-0.0008,0.0364,2000,1.0000,0.6098,169,0.4939,0.193600,0.1741,
217,3.6533,-0.0608,-0.0001,-0.0025,-0.0008,0.0583,-0.0007,0.0583,-0.0025,-0.0008,0.0583,1999,1.0000,0.6101,163,0.4168,0.193568,0.0804,
218,3.6702,-0.1312,-0.0090,-0.0024,-0.0008,0.1288,0.0082,0.1291,-0.0024,-0.0008,0.1291,2000,1.0000,0.6103,163,0.4263,0.193527,0.0249,
219,3.6870,-0.1310,-0.0091,-0.0024,-0.0008,0.1286,0.0083,0.1289,-0.0024,-0.0008,0.1289,2000,1.0000,0.6103,163,0.4262,0.193527,0.0594,
220,3.7038,0.0460,-0.0065,-0.0024,-0.0008,-0.0484,0.0057,0.0487,-0.0024,-0.0008,0.0487,2000,1.0000,0.6097,169,0.4943,0.193592,0.1650,
221,3.7207,-0.0629,0.0073,-0.0024,-0.0007,0.0605,-0.0080,0.0610,-0.0024,-0.0007,0.0610,2000,1.0000,0.6103,163,0.4120,0.193560,0.0614,
222,3.7375,-0.0628,0.0072,-0.0025,-0.0007,0.0603,-0.0079,0.0608,-0.0025,-0.0007,0.0608,2000,1.0000,0.6103,163,0.4120,0.193560,0.0616,
223,3.7543,-0.0630,0.0073,-0.0025,-0.0007,0.0605,-0.0080,0.0610,-0.0025,-0.0007,0.0610,2000,1.0000,0.6103,163,0.4119,0.193560,0.0539,
224,3.7712,-0.0629,0.0072,-0.0025,-0.0007,0.0604,-0.0079,0.0609,-0.0025,-0.0007,0.0609,2000,1.0000,0.6103,163,0.4119,0.193560,0.0538,
225,3.7880,0.0029,0.0182,-0.0025,-0.0008,-0.0054,-0.0190,0.0198,-0.0025,-0.0008,0.0198,2000,1.0000,0.6101,167,0.4687,0.193612,0.1424,
226,3.8048,0.0029,0.0182,-0.0025,-0.0007,-0.0054,-0.0189,0.0197,-0.0025,-0.0007,0.0197,2000,1.0000,0.6101,167,0.4686,0.193612,0.1423,
227,3.8217,0.0025,0.0182,-0.0025,-0.0007,-0.0050,-0.0189,0.0196,-0.0025,-0.0007,0.0196,2000,1.0000,0.6101,167,0.4687,0.193613,0.1413,
228,3.8385,-0.0652,0.0084,-0.0026,-0.0005,0.0626,-0.0089,0.0632,-0.0026,-0.0005,0.0632,2000,1.0000,0.6103,163,0.4118,0.193563,0.0738,
229,3.8554,-0.0656,0.0083,-0.0026,-0.0005,0.0630,-0.0088,0.0636,-0.0026,-0.0005,0.0636,2000,1.0000,0.6103,163,0.4114,0.193563,0.0648,
230,3.8722,0.0579,-0.0210,-0.0026,-0.0006,-0.0605,0.0204,0.0638,-0.0026,-0.0006,0.0638,2000,1.0000,0.6087,175,0.6264,0.193716,0.1468,
231,3.8890,0.0588,-0.0228,-0.0027,-0.0006,-0.0615,0.0222,0.0654,-0.0027,-0.0006,0.0654,2000,1.0000,0.6088,174,0.6092,0.193703,0.1066,
232,3.9059,0.2927,-0.1390,-0.0026,-0.0006,-0.2953,0.1384,0.3261,-0.0026,-0.0006,0.3261,2000,1.0000,0.6091,172,0.5851,0.193512,0.3648,
233,3.9227,0.2928,-0.1389,-0.0026,-0.0006,-0.2954,0.1383,0.3262,-0.0026,-0.0006,0.3262,2000,1.0000,0.6091,172,0.5852,0.193512,0.4227,
234,3.9395,-0.0648,0.0039,-0.0027,-0.0006,0.0621,-0.0045,0.0623,-0.0027,-0.0007,0.0623,2000,1.0000,0.6103,163,0.4119,0.193554,0.0908,
235,3.9564,0.1266,-0.0286,-0.0027,-0.0006,-0.1293,0.0280,0.1323,-0.0027,-0.0006,0.1323,1999,1.0000,0.6097,169,0.5098,0.193626,0.2234,
236,3.9732,0.1267,-0.0288,-0.0027,-0.0006,-0.1294,0.0282,0.1324,-0.0027,-0.0007,0.1324,1999,1.0000,0.6097,169,0.5099,0.193626,0.2236,
237,3.9900,0.0575,-0.0224,-0.0026,-0.0006,-0.0601,0.0218,0.0639,-0.0026,-0.0007,0.0639,2000,1.0000,0.6088,174,0.6096,0.193704,0.1658,
238,4.0069,0.0555,-0.0229,-0.0026,-0.0006,-0.0581,0.0223,0.0622,-0.0026,-0.0006,0.0622,2000,1.0000,0.6088,174,0.6085,0.193704,0.0872,
239,4.0237,0.0554,-0.0229,-0.0026,-0.0006,-0.0580,0.0223,0.0621,-0.0026,-0.0006,0.0621,2000,1.0000,0.6088,174,0.6084,0.193703,0.1647,
240,4.0405,0.0690,-0.0147,-0.0013,-0.0003,-0.0703,0.0144,0.0718,-0.0013,-0.0003,0.0718,1997,1.0000,0.6092,170,0.5139,0.193594,0.1020,
241,4.0574,0.0262,0.0083,-0.0013,-0.0004,-0.0275,-0.0087,0.0288,-0.0013,-0.0004,0.0288,2000,1.0000,0.6098,168,0.4800,0.193597,0.0536,
242,4.0742,0.0263,0.0084,-0.0013,-0.0004,-0.0276,-0.0088,0.0290,-0.0013,-0.0004,0.0290,2000,1.0000,0.6098,168,0.4800,0.193597,0.0549,
243,4.0911,0.0589,-0.0272,-0.0014,-0.0004,-0.0603,0.0268,0.0660,-0.0014,-0.0004,0.0660,2000,1.0000,0.6097,170,0.5143,0.193633,0.0915,
244,4.1079,0.0149,0.0163,-0.0014,-0.0004,-0.0163,-0.0167,0.0233,-0.0014,-0.0004,0.0233,2000,1.0000,0.6099,168,0.4795,0.193607,0.0300,
245,4.1247,0.0148,0.0163,-0.0014,-0.0003,-0.0162,-0.0166,0.0232,-0.0014,-0.0003,0.0232,2000,1.0000,0.6099,168,0.4790,0.193607,0.0298,
246,4.1416,0.0064,0.0302,-0.0014,-0.0004,-0.0078,-0.0306,0.0316,-0.0014,-0.0004,0.0316,2000,1.0000,0.6098,169,0.5072,0.193669,0.0305,
247,4.1584,-0.0067,0.0316,-0.0014,-0.0004,0.0053,-0.0320,0.0324,-0.0014,-0.0004,0.0324,2000,1.0000,0.6103,167,0.4745,0.193655,0.0176,
248,4.1752,-0.0067,0.0316,-0.0014,-0.0004,0.0053,-0.0320,0.0324,-0.0014,-0.0004,0.0324,2000,1.0000,0.6103,167,0.4745,0.193655,0.0176,
249,4.1921,-0.1761,-0.0332,-0.0014,-0.0003,0.1747,0.0329,0.1778,-0.0014,-0.0003,0.1778,2000,1.0000,0.6102,161,0.4285,0.193453,0.1685,
250,4.2089,0.0088,0.0175,-0.0014,-0.0002,-0.0102,-0.0177,0.0204,-0.0014,-0.0002,0.0204,2000,1.0000,0.6099,168,0.4787,0.193616,0.0238,
251,4.2257,0.0090,0.0177,-0.0014,-0.0002,-0.0104,-0.0179,0.0207,-0.0014,-0.0002,0.0207,2000,1.0000,0.6099,168,0.4788,0.193616,0.1561,
252,4.2426,-0.0411,-0.0073,-0.0014,-0.0002,0.0397,0.0071,0.0403,-0.0014,-0.0002,0.0403,2000,1.0000,0.6098,165,0.4407,0.193548,0.1353,
253,4.2594,-0.1829,-0.0286,-0.0014,-0.0002,0.1815,0.0284,0.1837,-0.0014,-0.0002,0.1837,1999,1.0000,0.6102,160,0.4154,0.193431,0.1420,
254,4.2762,-0.1827,-0.0288,-0.0014,-0.0002,0.1813,0.0286,0.1835,-0.0014,-0.0002,0.1835,2000,1.0000,0.6102,160,0.4153,0.193431,0.1422,
255,4.2931,0.0398,0.0077,-0.0015,-0.0002,-0.0413,-0.0079,0.0420,-0.0015,-0.0002,0.0420,2000,1.0000,0.6099,168,0.4802,0.193596,0.0794,
256,4.3099,0.0397,0.0078,-0.0014,-0.0001,-0.0411,-0.0079,0.0419,-0.0014,-0.0001,0.0419,2000,1.0000,0.6099,168,0.4802,0.193596,0.0793,
257,4.3268,0.0402,0.0077,-0.0014,-0.0002,-0.0416,-0.0079,0.0423,-0.0014,-0.0002,0.0423,2000,1.0000,0.6099,168,0.4805,0.193596,0.0798,
258,4.3436,-0.0728,0.0138,-0.0015,-0.0001,0.0713,-0.0139,0.0726,-0.0015,-0.0001,0.0726,2000,1.0000,0.6102,163,0.4084,0.193556,0.0547,
259,4.3604,-0.0728,0.0138,-0.0014,-0.0001,0.0714,-0.0139,0.0727,-0.0014,-0.0001,0.0727,2000,1.0000,0.6102,163,0.4083,0.193556,0.0546,
260,4.3773,-0.0008,0.0287,-0.0015,-0.0001,-0.0007,-0.0288,0.0288,-0.0015,-0.0001,0.0288,2000,1.0000,0.6102,167,0.4724,0.193660,0.0931,
261,4.3941,-0.1505,0.0333,-0.0015,-0.0000,0.1490,-0.0333,0.1527,-0.0015,-0.0000,0.1527,2000,1.0000,0.6107,164,0.4271,0.193675,0.0560,
262,4.4109,-0.1509,0.0335,-0.0015,-0.0000,0.1494,-0.0335,0.1531,-0.0015,-0.0000,0.1531,2000,1.0000,0.6107,164,0.4272,0.193676,0.0633,
263,4.4278,0.0513,-0.0023,-0.0015,-0.0000,-0.0528,0.0023,0.0529,-0.0015,-0.0000,0.0529,2000,1.0000,0.6099,168,0.4811,0.193592,0.1609,
264,4.4446,0.0513,-0.0025,-0.0014,-0.0000,-0.0527,0.0025,0.0528,-0.0014,-0.0000,0.0528,2000,1.0000,0.6099,168,0.4811,0.193592,0.0815,
265,4.4614,-0.1512,0.0333,-0.0015,-0.0000,0.1497,-0.0333,0.1534,-0.0015,-0.0000,0.1534,2000,1.0000,0.6107,164,0.4269,0.193676,0.2810,
266,4.4783,-0.1514,0.0333,-0.0015,-0.0000,0.1499,-0.0333,0.1536,-0.0015,-0.0000,0.1536,2000,1.0000,0.6107,164,0.4270,0.193676,0.2811,
267,4.4951,-0.1643,-0.0027,-0.0015,-0.0001,0.1628,0.0026,0.1628,-0.0015,-0.0001,0.1628,2000,1.0000,0.6103,162,0.4108,0.193516,0.1437,
268,4.5119,-0.1643,-0.0027,-0.0015,-0.0000,0.1628,0.0027,0.1628,-0.0015,-0.0000,0.1628,2000,1.0000,0.6103,162,0.4108,0.193516,0.1436,
269,4.5288,-0.1644,-0.0026,-0.0015,0.0000,0.1629,0.0026,0.1629,-0.0015,0.0000,0.1629,2000,1.0000,0.6103,162,0.4109,0.193516,0.2898,
270,4.5456,-0.0663,0.0055,-0.0030,0.0004,0.0633,-0.0051,0.0635,-0.0030,0.0004,0.0635,1999,0.9995,0.6101,164,0.4309,0.193542,0.0569,
271,4.5625,-0.0811,0.0139,-0.0030,0.0004,0.0781,-0.0135,0.0793,-0.0030,0.0004,0.0793,2000,1.0000,0.6102,163,0.4152,0.193552,0.2381,
272,4.5793,-0.0811,0.0139,-0.0030,0.0004,0.0781,-0.0135,0.0793,-0.0030,0.0004,0.0793,2000,1.0000,0.6102,163,0.4153,0.193552,0.2138,
273,4.5961,-0.0811,0.0139,-0.0030,0.0004,0.0781,-0.0135,0.0793,-0.0030,0.0004,0.0793,2000,1.0000,0.6102,163,0.4153,0.193552,0.2139,
274,4.6130,-0.0812,0.0139,-0.0030,0.0004,0.0782,-0.0135,0.0794,-0.0030,0.0004,0.0794,2000,1.0000,0.6102,163,0.4152,0.193552,0.2630,
275,4.6298,0.0334,0.0171,-0.0029,0.0004,-0.0363,-0.0167,0.0400,-0.0029,0.0004,0.0400,2000,1.0000,0.6097,169,0.4938,0.193611,0.0336,
276,4.6466,0.0333,0.0172,-0.0029,0.0004,-0.0362,-0.0168,0.0399,-0.0029,0.0004,0.0399,2000,1.0000,0.6097,169,0.4938,0.193611,0.2701,
277,4.6635,0.0331,0.0173,-0.0028,0.0004,-0.0359,-0.0169,0.0397,-0.0028,0.0003,0.0397,2000,1.0000,0.6097,169,0.4938,0.193611,0.2704,
278,4.6803,0.0333,0.0174,-0.0029,0.0005,-0.0362,-0.0169,0.0400,-0.0029,0.0005,0.0400,2000,1.0000,0.6097,169,0.4937,0.193611,0.0722,
279,4.6971,0.0332,0.0174,-0.0028,0.0005,-0.0360,-0.0169,0.0398,-0.0028,0.0005,0.0398,2000,1.0000,0.6097,169,0.4938,0.193611,0.0726,
280,4.7140,-0.0826,0.0144,-0.0029,0.0004,0.0797,-0.0140,0.0809,-0.0029,0.0004,0.0809,2000,1.0000,0.6102,163,0.4149,0.193553,0.0436,
281,4.7308,-0.0826,0.0144,-0.0029,0.0004,0.0797,-0.0140,0.0809,-0.0029,0.0004,0.0809,2000,1.0000,0.6102,163,0.4149,0.193553,0.0923,
282,4.7476,-0.0826,0.0143,-0.0029,0.0004,0.0797,-0.0139,0.0809,-0.0029,0.0004,0.0809,2000,1.0000,0.6102,163,0.4149,0.193553,0.0436,
283,4.7645,-0.0830,0.0143,-0.0029,0.0004,0.0801,-0.0139,0.0813,-0.0029,0.0004,0.0813,2000,1.0000,0.6102,163,0.4150,0.193554,0.0440,
284,4.7813,-0.0832,0.0144,-0.0029,0.0004,0.0803,-0.0140,0.0815,-0.0029,0.0004,0.0815,2000,1.0000,0.6102,163,0.4149,0.193554,0.0443,
285,4.7981,-0.0826,0.0143,-0.0029,0.0004,0.0797,-0.0139,0.0809,-0.0030,0.0004,0.0808,1999,1.0000,0.6102,163,0.4151,0.193553,0.0369,
286,4.8150,-0.0824,0.0143,-0.0030,0.0003,0.0794,-0.0140,0.0806,-0.0030,0.0003,0.0806,2000,1.0000,0.6102,163,0.4151,0.193553,0.0370,
287,4.8318,-0.0826,0.0144,-0.0030,0.0003,0.0796,-0.0141,0.0808,-0.0030,0.0003,0.0808,2000,1.0000,0.6102,163,0.4151,0.193553,0.0823,
288,4.8487,-0.0821,0.0142,-0.0031,0.0003,0.0790,-0.0139,0.0802,-0.0031,0.0003,0.0802,2000,1.0000,0.6102,163,0.4151,0.193552,0.0819,
289,4.8655,-0.0824,0.0141,-0.0030,0.0003,0.0794,-0.0138,0.0806,-0.0030,0.0003,0.0806,2000,1.0000,0.6102,163,0.4151,0.193553,0.0822,
290,4.8823,-0.0787,0.0174,-0.0030,0.0003,0.0757,-0.0171,0.0776,-0.0030,0.0003,0.0776,2000,1.0000,0.6102,163,0.4149,0.193566,0.0307,
