frame,t_s,ref_X_mm,ref_Y_mm,est_X_mm,est_Y_mm,err_X_mm,err_Y_mm,err_norm_mm,est_oracle_X_mm,est_oracle_Y_mm,err_oracle_mm,tracked_points,inlier_ratio,roi_visible,ref_corners,ref_rms_px,mm_per_px,xcheck_mm,flags
33,0.5556,-0.1170,0.0199,0.0088,0.0001,0.1258,-0.0198,0.1273,0.0087,0.0001,0.1272,2000,1.0000,0.6103,163,0.4157,0.193530,0.1626,
34,0.5724,0.2473,-0.0695,0.0088,0.0001,-0.2385,0.0696,0.2484,0.0087,0.0001,0.2485,2000,1.0000,0.6091,171,0.5409,0.193541,0.2585,
35,0.5892,0.1061,0.0304,0.0084,0.0001,-0.0977,-0.0303,0.1023,0.0084,0.0001,0.1023,2000,1.0000,0.6092,170,0.5136,0.193629,0.1896,
36,0.6061,0.1487,0.0218,0.0083,0.0001,-0.1404,-0.0217,0.1421,0.0083,0.0001,0.1421,2000,1.0000,0.6086,175,0.6300,0.193703,0.1130,
37,0.6229,-0.0685,0.0436,0.0082,0.0002,0.0767,-0.0434,0.0881,0.0082,0.0002,0.0881,2000,1.0000,0.6103,163,0.4062,0.193584,0.1124,
38,0.6398,-0.0127,0.0136,0.0081,0.0002,0.0208,-0.0134,0.0247,0.0080,0.0002,0.0247,2000,1.0000,0.6098,166,0.4490,0.193538,0.0724,
39,0.6566,0.1799,-0.0190,0.0080,0.0001,-0.1719,0.0191,0.1730,0.0080,0.0001,0.1730,2000,1.0000,0.6100,168,0.4837,0.193533,0.1520,
40,0.6734,0.0535,0.0265,0.0079,0.0001,-0.0456,-0.0264,0.0527,0.0079,0.0001,0.0527,2000,1.0000,0.6097,168,0.4718,0.193595,0.0170,
41,0.6903,0.0107,0.0302,0.0080,0.0000,-0.0027,-0.0302,0.0303,0.0079,0.0000,0.0303,1999,1.0000,0.6102,166,0.4486,0.193611,0.0932,
42,0.7071,-0.0261,0.0223,0.0079,-0.0001,0.0340,-0.0224,0.0407,0.0078,-0.0001,0.0406,2000,1.0000,0.6100,164,0.4189,0.193545,0.0678,
43,0.7239,0.0100,0.0462,0.0078,-0.0001,-0.0022,-0.0463,0.0464,0.0078,-0.0001,0.0464,2000,1.0000,0.6102,166,0.4476,0.193654,0.0183,
44,0.7408,0.0532,0.0259,0.0078,-0.0002,-0.0454,-0.0261,0.0524,0.0078,-0.0002,0.0524,2000,1.0000,0.6097,168,0.4706,0.193598,0.0244,
45,0.7576,-0.0595,-0.0006,0.0072,-0.0003,0.0667,0.0003,0.0667,0.0072,-0.0003,0.0667,2000,1.0000,0.6098,164,0.4314,0.193509,0.0453,
46,0.7744,0.1735,-0.0172,0.0072,-0.0003,-0.1663,0.0169,0.1672,0.0072,-0.0003,0.1672,2000,1.0000,0.6100,166,0.4598,0.193480,0.0930,
47,0.7913,0.2867,-0.0992,0.0073,-0.0004,-0.2794,0.0988,0.2964,0.0072,-0.0004,0.2964,2000,1.0000,0.6089,171,0.5558,0.193502,0.3305,
48,0.8081,0.0498,0.0254,0.0071,-0.0003,-0.0427,-0.0257,0.0498,0.0071,-0.0003,0.0498,2000,1.0000,0.6097,168,0.4729,0.193599,0.0291,
49,0.8249,0.0165,0.0397,0.0070,-0.0003,-0.0095,-0.0400,0.0411,0.0070,-0.0003,0.0411,2000,1.0000,0.6100,166,0.4490,0.193615,0.1375,
50,0.8418,0.0849,-0.0157,0.0069,-0.0003,-0.0780,0.0154,0.0795,0.0069,-0.0003,0.0795,1999,1.0000,0.6086,174,0.6114,0.193687,0.0478,
51,0.8586,-0.0212,-0.0308,0.0068,-0.0004,0.0280,0.0304,0.0413,0.0068,-0.0004,0.0413,2000,1.0000,0.6094,165,0.4665,0.193485,0.1783,
52,0.8755,0.0890,0.0106,0.0068,-0.0005,-0.0822,-0.0111,0.0829,0.0067,-0.0005,0.0830,2000,1.0000,0.6087,174,0.6084,0.193725,0.1153,
53,0.8923,0.1542,-0.0286,0.0064,-0.0005,-0.1478,0.0281,0.1504,0.0063,-0.0004,0.1506,2000,1.0000,0.6093,170,0.5193,0.193605,0.1801,
54,0.9091,-0.1261,0.0137,0.0063,-0.0004,0.1324,-0.0141,0.1331,0.0063,-0.0004,0.1331,2000,1.0000,0.6102,163,0.4218,0.193525,0.2360,
55,0.9260,-0.0012,0.0335,0.0063,-0.0003,0.0075,-0.0338,0.0346,0.0063,-0.0003,0.0346,1999,1.0000,0.6101,163,0.4153,0.193499,0.1560,
56,0.9428,0.0240,0.0393,0.0063,-0.0003,-0.0177,-0.0396,0.0434,0.0063,-0.0003,0.0434,2000,1.0000,0.6100,166,0.4482,0.193605,0.1006,
57,0.9596,0.0442,0.0205,0.0051,0.0004,-0.0391,-0.0201,0.0440,0.0051,0.0004,0.0440,1998,1.0000,0.6090,172,0.5742,0.193736,0.0866,
58,0.9765,0.0693,-0.0220,0.0051,0.0004,-0.0642,0.0224,0.0680,0.0051,0.0004,0.0680,2000,1.0000,0.6086,175,0.6395,0.193721,0.0770,
59,0.9933,0.1574,-0.0065,0.0051,0.0003,-0.1523,0.0068,0.1525,0.0051,0.0003,0.1525,2000,1.0000,0.6087,172,0.5752,0.193657,0.2273,
60,1.0101,0.2521,-0.1515,0.0012,-0.0005,-0.2509,0.1510,0.2928,0.0012,-0.0005,0.2928,1998,0.9995,0.6085,178,0.6781,0.193568,0.2984,
61,1.0270,0.0702,-0.0034,0.0012,-0.0005,-0.0690,0.0029,0.0691,0.0012,-0.0005,0.0691,2000,1.0000,0.6095,170,0.5042,0.193611,0.1329,
62,1.0438,-0.2331,0.0170,0.0012,-0.0004,0.2343,-0.0174,0.2349,0.0012,-0.0004,0.2349,2000,1.0000,0.6112,160,0.4375,0.193504,0.1549,
63,1.0606,0.1462,-0.0728,0.0012,-0.0007,-0.1450,0.0721,0.1619,0.0012,-0.0007,0.1619,2000,1.0000,0.6084,174,0.6161,0.193577,0.1933,
64,1.0775,0.1463,-0.0729,0.0012,-0.0007,-0.1451,0.0722,0.1621,0.0013,-0.0007,0.1620,2000,1.0000,0.6084,174,0.6162,0.193577,0.1935,
65,1.0943,0.1653,-0.0766,0.0010,-0.0006,-0.1643,0.0760,0.1810,0.0011,-0.0006,0.1809,2000,1.0000,0.6091,171,0.5424,0.193582,0.2751,
66,1.1112,-0.0307,-0.0577,0.0011,-0.0006,0.0318,0.0571,0.0654,0.0011,-0.0006,0.0654,2000,1.0000,0.6096,165,0.4613,0.193511,0.0866,
67,1.1280,-0.0156,0.0322,0.0011,-0.0006,0.0167,-0.0328,0.0368,0.0011,-0.0006,0.0368,2000,1.0000,0.6102,167,0.4622,0.193655,0.0479,
68,1.1448,-0.0552,-0.0004,0.0011,-0.0006,0.0563,-0.0002,0.0563,0.0011,-0.0006,0.0563,2000,1.0000,0.6101,163,0.4074,0.193556,0.1109,
69,1.1617,-0.0739,-0.0053,0.0011,-0.0006,0.0750,0.0047,0.0751,0.0011,-0.0006,0.0751,2000,1.0000,0.6101,164,0.4280,0.193541,0.2418,
70,1.1785,-0.0511,0.0037,0.0009,-0.0008,0.0520,-0.0045,0.0522,0.0009,-0.0008,0.0522,2000,1.0000,0.6101,164,0.4214,0.193570,0.0596,
71,1.1953,-0.0306,0.0054,0.0009,-0.0008,0.0315,-0.0062,0.0321,0.0010,-0.0008,0.0322,2000,1.0000,0.6101,164,0.4211,0.193579,0.0399,
72,1.2122,-0.0654,0.0113,0.0009,-0.0009,0.0663,-0.0122,0.0674,0.0009,-0.0009,0.0674,2000,1.0000,0.6103,164,0.4210,0.193580,0.0509,
73,1.2290,-0.0648,0.0115,0.0010,-0.0009,0.0658,-0.0124,0.0670,0.0010,-0.0009,0.0670,2000,1.0000,0.6103,164,0.4213,0.193580,0.0534,
74,1.2458,0.0334,0.0080,0.0011,-0.0009,-0.0323,-0.0089,0.0335,0.0011,-0.0009,0.0335,2000,1.0000,0.6098,169,0.4862,0.193616,0.0309,
75,1.2627,-0.2204,-0.0081,0.0009,-0.0009,0.2213,0.0072,0.2214,0.0010,-0.0009,0.2215,1999,0.9995,0.6106,159,0.3871,0.193537,0.1863,
76,1.2795,0.1689,-0.0879,0.0009,-0.0009,-0.1680,0.0870,0.1892,0.0009,-0.0009,0.1892,2000,1.0000,0.6082,176,0.6599,0.193590,0.2486,
77,1.2963,-0.0607,0.0116,0.0010,-0.0007,0.0617,-0.0123,0.0629,0.0010,-0.0007,0.0629,2000,1.0000,0.6102,163,0.4066,0.193577,0.0358,
78,1.3132,-0.0693,-0.0082,0.0010,-0.0007,0.0703,0.0075,0.0707,0.0010,-0.0007,0.0707,2000,1.0000,0.6106,163,0.4067,0.193589,0.0399,
79,1.3300,-0.0622,0.0009,0.0010,-0.0006,0.0632,-0.0015,0.0632,0.0010,-0.0006,0.0632,2000,1.0000,0.6104,163,0.4123,0.193535,0.2556,
