frame,t_s,X_mm,Y_mm,dX_mm,dY_mm,tracked_points,inlier_ratio,roi_visible,mm_per_px,du_px,dv_px,flags
0,0.0712,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
1,0.1430,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
2,0.1670,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
3,0.1953,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
4,0.2211,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
5,0.2453,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
6,0.2691,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
7,0.2928,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
8,0.3169,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
9,0.3410,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
10,0.3706,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
11,0.4036,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
12,0.4371,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
13,0.4705,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
14,0.5032,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
15,0.5381,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
16,0.5701,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
17,0.6032,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
18,0.6372,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
19,0.6709,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
20,0.7030,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
21,0.7369,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
22,0.7700,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
23,0.8034,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
24,0.8376,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
25,0.8699,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
26,0.9037,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
27,0.9372,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
28,0.9697,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
29,1.0036,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
30,1.0421,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
31,1.1009,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
32,1.1250,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
33,1.1494,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
34,1.1734,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
35,1.2033,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
36,1.2364,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
37,1.2703,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
38,1.3040,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
39,1.3365,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
40,1.3704,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
41,1.4039,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
42,1.4373,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
43,1.4701,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
44,1.5044,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
45,1.5378,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
46,1.5687,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
47,1.6019,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
48,1.6352,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
49,1.6729,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
50,1.7016,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
51,1.7352,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
52,1.7686,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
53,1.8026,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
54,1.8368,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
55,1.8681,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
56,1.9017,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
57,1.9352,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000,,0.0000,0.0000,no_calib
